Unique Method Stereotype,Method Count
property set factory collaborator,2
get property non-void-command factory collaborator,1
get property set collaborator,2
property factory collaborator,9
get predicate wrapper,1
collaborator stateless,5
get set factory,2
get set factory collaborator,1
property factory controller,1
void-accessor controller,15
get property controller,4
get set collaborator,29
predicate set,36
stateless,1
property collaborator,1233
property non-void-command,105
property non-void-command factory collaborator,23
incidental,389
get,321
collaborator incidental,295
get property non-void-command collaborator,17
get non-void-command collaborator,44
property wrapper,967
predicate,651
get predicate,1
set,1019
get property non-void-command,1
void-accessor set collaborator,5
get property collaborator,32
constructor,3458
command collaborator,4726
property,708
non-void-command factory collaborator,8
controller stateless,1627
property controller,126
property non-void-command collaborator,768
non-void-command,2
set collaborator,611
get controller,4
get collaborator,899
empty,740
unclassified,152
controller,227
factory collaborator,1
get set,35
predicate non-void-command collaborator,554
wrapper,149
non-void-command collaborator,72
get non-void-command,75
get property wrapper,16
destructor,281
factory collaborator stateless,807
predicate set collaborator,22
predicate controller,106
void-accessor command collaborator,195
copy-constructor,92
void-accessor collaborator,53
predicate collaborator,455
void-accessor,36
wrapper stateless,1299
predicate non-void-command,286
void-accessor wrapper,13
void-accessor set,3
collaborator,261
property set collaborator,43
get property,10
property command collaborator,5
get wrapper,84
get predicate collaborator,8
factory controller stateless,5
void-accessor command,32
factory collaborator incidental,4
predicate wrapper,102
get predicate controller,2
property set,7
get predicate non-void-command collaborator,1
command,2084
property factory wrapper,1
Total,26467
