Unique Method Stereotype,Method Count
void-accessor set,1
property factory collaborator,18
get predicate collaborator,1
factory collaborator stateless,1
get command collaborator,3
get set collaborator,69
property controller,39
property non-void-command collaborator,270
controller stateless,153
property wrapper,150
get non-void-command collaborator,72
get predicate controller,1
predicate wrapper,33
predicate,371
collaborator,84
set,346
void-accessor set collaborator,1
get property collaborator,4
constructor,1447
get property controller,1
property non-void-command,60
property collaborator,500
predicate set,8
property non-void-command factory collaborator,4
incidental,122
controller,54
get,442
collaborator incidental,87
get property non-void-command collaborator,6
destructor,317
predicate non-void-command collaborator,86
wrapper,141
get predicate non-void-command,1
get set,88
get controller,6
get collaborator,462
empty,162
command,796
unclassified,122
property,437
command collaborator,723
wrapper stateless,208
predicate non-void-command,55
void-accessor wrapper,10
non-void-command collaborator,113
get non-void-command,88
get property wrapper,3
get wrapper,27
property command collaborator,2
factory controller stateless,1
void-accessor command,35
property set,9
property set factory collaborator,2
predicate controller,15
property set collaborator,21
predicate set collaborator,10
get property,4
copy-constructor,118
void-accessor collaborator,13
void-accessor command collaborator,63
predicate collaborator,86
void-accessor,30
get property set collaborator,6
get set factory collaborator,5
void-accessor controller,2
set collaborator,268
non-void-command,23
Total,8906
