Unique Class Stereotype,Class Count
minimal-entity boundary,1
factory degenerate small-class,3
entity,1
entity factory controller small-class,4
entity minimal-entity boundary,1
commander boundary degenerate,2
entity data-provider boundary degenerate,1
data-provider boundary,1
entity factory controller,1
lazy-class small-class,5
data-class small-class,1
entity boundary,58
pure-controller degenerate,11
data-provider boundary small-class,13
small-class,66
entity boundary small-class,75
pure-controller,3
commander boundary,55
boundary degenerate,9
factory pure-controller degenerate small-class,2
controller,5
pure-controller degenerate small-class,48
entity commander boundary,21
boundary degenerate small-class,22
entity small-class,1
commander,36
empty,268
factory controller,3
commander boundary small-class,58
entity minimal-entity boundary lazy-class,1
data-provider boundary lazy-class small-class,1
factory controller small-class,6
degenerate small-class,31
boundary,37
pure-controller small-class,15
degenerate,17
unclassified,32
controller small-class,26
data-provider data-class,1
commander data-class small-class,2
factory degenerate,1
boundary small-class,6
commander boundary data-class small-class,1
commander small-class,63
entity boundary degenerate,3
Total,1018
