Unique Class Stereotype,Class Count
data-provider lazy-class,1
lazy-class degenerate,1
commander boundary small-class,8
degenerate,23
pure-controller small-class,8
boundary,38
entity boundary data-class,1
entity boundary degenerate,9
degenerate small-class,30
small-class,30
entity,1
boundary degenerate small-class,55
entity commander boundary,17
entity boundary small-class,22
pure-controller degenerate small-class,19
factory pure-controller small-class,1
entity boundary data-class small-class,2
commander boundary degenerate,7
data-provider lazy-class small-class,10
empty,769
entity small-class,6
unclassified,62
controller small-class,5
boundary small-class,8
commander data-class small-class,3
data-provider boundary,21
entity data-provider boundary,5
pure-controller degenerate,9
data-provider,4
commander boundary,96
boundary degenerate,23
entity factory controller small-class,7
lazy-class,2
data-provider lazy-class degenerate,1
boundary data-class small-class,2
lazy-class data-class small-class,1
boundary lazy-class degenerate,4
controller degenerate,1
data-provider boundary data-class,1
data-provider degenerate,3
pure-controller,2
data-provider boundary small-class,54
controller,2
factory pure-controller degenerate small-class,2
commander boundary lazy-class small-class,3
commander small-class,33
boundary data-class,2
data-class small-class,5
factory controller small-class,10
commander degenerate,3
minimal-entity boundary,1
entity boundary,28
commander boundary data-class small-class,1
commander,43
data-class,1
commander boundary lazy-class degenerate,1
data-provider boundary data-class small-class,9
data-provider data-class small-class,2
data-provider boundary lazy-class degenerate,2
factory small-class,2
data-provider small-class,1
entity factory controller,2
factory degenerate small-class,1
Total,1526
