,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
DevToys (C#),0,39,1,0,10,0,0,0,1,26,211,0,0,0,10,0,0,8,0,56,0,1,0,0,2,0,1,3,1,1,147,3,3,1,1,8,5,0,5,1,0,0,5,0,6,0,2,0,67,9,0,1,0,7,4,0,0,1,0,2,0,0,1,0,141,0,6,0,13,0,0,0,2,0,0,3,85,1,3,1,0,1,0,0,8,0,0,0,3,0,0,11,0,0,68,0,1,0,0,0,101,82,1,2,0,0,13,3,6,0,0,1,0,4,1,0
EquinoxProject (C#),0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docfx (C#),4,13,0,6,25,0,0,0,0,33,576,0,3,0,34,0,0,10,1,372,0,0,0,0,1,0,1,25,1,0,48,7,27,1,3,4,8,0,7,0,0,0,10,2,6,0,0,0,45,3,0,1,0,13,8,0,0,1,1,2,0,1,1,0,214,0,10,0,11,0,0,0,2,0,2,4,153,0,1,3,0,2,0,4,34,0,1,3,11,0,0,53,2,0,26,0,0,2,0,0,5,134,0,1,0,0,508,1,45,0,0,6,0,0,0,1
CAP (C#),0,6,0,6,16,0,0,0,0,9,155,0,0,0,11,0,0,0,0,64,0,0,0,2,7,0,0,36,1,4,40,9,20,0,0,2,3,1,20,0,0,0,1,0,4,0,0,0,16,3,0,0,0,2,5,0,0,0,0,1,0,0,0,0,65,0,4,0,3,0,0,0,4,0,0,0,50,0,3,0,0,0,0,6,14,0,0,3,4,0,0,12,0,0,8,0,0,0,0,0,72,113,0,0,0,0,15,1,27,0,0,0,0,2,0,0
EverythingToolbar (C#),0,15,1,14,1,0,0,0,0,8,45,0,0,0,3,0,0,1,0,57,0,1,0,0,0,0,1,1,0,1,33,0,13,0,3,4,0,0,2,0,0,0,0,0,2,0,0,2,26,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,60,0,3,0,37,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0,0,50,0,2,1,0,2,6,21,3,1,0,0,2,20,5,0,0,0,0,1,0,0
LittleBigMouse (C#),0,11,0,3,2,0,0,0,0,7,130,0,1,0,6,0,0,2,0,90,0,0,0,0,2,0,0,9,3,2,12,3,17,1,8,2,4,3,2,0,0,0,0,0,3,0,0,0,5,2,0,3,0,2,0,0,0,1,0,3,1,0,0,0,55,0,4,0,4,0,0,0,24,0,1,10,27,0,0,0,1,0,0,0,5,0,0,0,1,0,1,42,0,0,14,0,5,0,0,5,12,27,0,1,0,0,13,4,9,0,1,0,1,1,2,0
QuickLook (C#),1,17,1,0,9,0,0,0,0,4,44,0,0,0,0,1,0,0,0,40,0,0,0,0,1,0,1,1,0,1,27,0,3,0,0,1,2,0,1,1,0,0,5,0,1,0,0,0,13,21,0,0,0,1,4,0,0,0,0,1,0,0,6,0,36,0,7,0,2,0,0,0,0,0,0,3,20,0,4,2,0,0,0,0,0,0,0,1,0,0,0,17,0,0,29,0,0,0,0,3,3,7,1,1,0,0,10,0,2,0,0,0,0,1,0,0
usbipd-win (C#),0,2,0,1,2,0,0,0,0,2,14,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,3,2,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0
btcpayserver (C#),1,18,0,10,56,0,0,0,0,43,534,0,1,1,32,0,0,10,0,154,0,0,0,1,2,0,0,20,0,4,36,11,37,0,0,9,3,6,10,0,0,0,24,0,18,0,0,0,19,9,0,1,0,13,19,0,0,2,0,1,0,0,0,0,86,0,13,0,35,0,0,0,16,0,1,15,251,0,4,1,1,4,0,6,31,0,0,0,4,0,0,60,0,0,17,0,5,1,0,2,223,612,0,0,0,0,32,9,57,1,0,6,0,1,0,11
Skinner (C#),0,38,0,4,1,0,0,0,2,10,23,0,0,0,1,0,0,3,0,11,0,1,0,2,2,0,0,0,1,0,73,0,12,1,0,2,5,1,4,0,0,0,3,0,6,0,1,1,22,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,78,0,3,0,5,0,0,0,46,0,0,45,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,13,0,0,91,0,0,0,0,4,5,9,0,0,0,0,11,22,10,0,0,1,0,1,1,0
