,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
MPAndroidChart (Java),387,95,189,33,307,484,261,655,112,102,210,15,0,67,11,162,78,0
openapi-generator (Java),33823,3951,19384,206,31587,4878,16753,35104,9590,5910,6248,243,0,1697,1496,7715,9169,0
JsBridge (Java),10,5,4,0,12,58,8,50,2,1,10,0,0,0,1,1,1,0
SmartTabLayout (Java),38,2,29,0,14,29,57,61,5,6,19,0,0,1,2,3,0,0
dolphinscheduler (Java),806,239,1524,6,625,2593,1836,4049,1093,586,756,8,0,979,320,1468,85,3
Toasty (Java),0,0,0,0,0,1,0,1,3,2,2,0,0,1,0,5,0,0
spring-boot-demo (Java),25,8,146,0,36,202,132,289,94,84,57,8,0,90,13,161,59,0
graphql-java (Java),751,250,1616,10,84,442,1381,2314,519,375,553,16,0,347,184,489,51,0
spring-analysis (Java),8,0,5,0,10,5,2,18,10,1,5,0,0,3,23,10,3,0
AndroidAsync (Java),225,85,232,11,112,273,319,496,85,29,142,3,0,53,46,88,28,0
Jetpack-MVVM-Best-Practice (Java),30,5,27,3,14,66,21,73,14,17,31,0,0,9,5,19,1,0
UltimateRecyclerView (Java),112,74,150,11,122,511,232,502,85,79,157,1,0,89,71,137,74,0
kestra (Java),80,116,1059,2,33,1115,1038,1727,396,236,238,7,0,188,47,463,44,0
okhttp-OkGo (Java),101,48,164,22,100,342,193,473,57,50,125,0,0,26,28,73,14,0
RxJava-Android-Samples (Java),3,1,40,0,27,132,20,73,12,15,6,0,0,4,0,18,0,0
nacos (Java),1271,361,1433,17,1110,3737,1631,3809,1397,877,851,8,0,554,218,1842,96,6
beam (Java),1824,735,4993,87,769,10669,4524,12855,4260,3365,2641,39,0,1502,627,5640,322,26
PictureSelector (Java),526,76,234,39,520,727,291,724,78,106,211,0,0,50,37,95,35,0
Spring-Cloud-Platform (Java),328,6,130,1,324,64,144,245,17,10,49,2,0,75,1,30,0,0
canal (Java),809,191,572,27,885,889,621,1470,315,166,408,3,0,143,51,390,52,0
resilience4j (Java),328,64,997,4,152,1656,895,2190,944,534,539,18,0,340,121,1334,18,5
remusic (Java),445,108,209,29,521,853,299,647,102,20,170,0,0,33,23,67,48,0
RePlugin (Java),139,110,414,10,84,280,401,564,78,139,107,6,0,66,64,77,16,1
Stirling-PDF (Java),62,29,135,1,53,91,153,208,175,41,33,0,0,51,17,218,6,0
miaosha (Java),149,43,218,0,128,52,241,225,29,22,66,0,0,24,31,30,6,8
vjtools (Java),88,48,136,2,53,140,151,197,146,160,63,0,0,14,4,271,3,1
hugo (Java),0,0,1,0,0,1,1,1,1,18,1,0,0,0,0,19,5,0
awesome-system-design-resources (Java),0,0,6,0,0,2,6,0,0,0,5,0,0,0,0,0,0,0
paascloud-master (Java),69,23,499,0,46,184,537,720,111,42,136,0,0,109,65,139,16,0
Luban (Java),5,2,8,1,8,7,11,19,3,5,6,0,0,8,0,6,0,0
EventBus (Java),34,9,28,4,68,176,33,138,17,7,38,2,0,9,0,17,7,0
MVVMHabit (Java),54,17,59,0,51,140,72,174,24,21,76,0,0,11,27,31,23,0
mybatis-generator-gui (Java),59,22,12,0,65,63,32,85,19,7,7,0,0,5,5,19,15,0
logger (Java),3,0,4,0,0,24,2,14,3,5,9,0,0,0,2,3,0,0
tomcat (Java),3299,1198,4006,156,2311,7440,4945,7775,1762,743,1429,29,0,620,1111,1952,856,13
SpringCloudLearning (Java),1,0,3,0,0,0,2,2,0,1,0,0,0,0,11,1,24,0
fastjson (Java),1433,113,410,42,1372,484,462,1270,3339,2021,232,4,0,106,74,5087,21,6
hello-algo (Java),38,7,104,12,9,75,103,54,22,36,37,1,0,2,48,49,0,1
ShortcutBadger (Java),0,1,1,0,2,13,0,11,20,17,6,0,0,3,0,20,0,0
libgdx (Java),3103,1345,6115,634,1656,6847,3809,5815,756,8326,3405,241,0,827,619,2001,419,45
jna (Java),124,34,355,47,100,761,361,733,660,427,224,2,0,99,54,940,40,18
CoreNLP (Java),1260,1029,4158,226,723,2836,4668,5646,1441,1036,2378,83,0,1071,306,1744,122,3
error-prone (Java),137,145,1679,12,79,5589,1645,2197,922,1393,350,2,0,123,535,2183,262,12
