,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
newbee-mall (Java),176,1,107,0,176,1,109,161,27,0,10,0,0,24,6,18,6,0
karate (Java),643,175,960,11,320,872,1125,1411,307,239,231,1,0,210,67,420,34,1
interview (Java),28,94,340,61,24,203,419,366,215,66,49,0,0,64,252,299,0,3
android-Ultra-Pull-To-Refresh (Java),27,26,33,1,48,130,31,84,23,5,23,0,0,4,7,18,12,0
Android-Universal-Image-Loader (Java),42,63,118,2,11,106,158,220,46,20,73,0,0,26,7,39,5,2
quartz (Java),420,176,552,0,292,625,729,1138,311,71,257,2,0,117,46,345,84,12
FileDownloader (Java),131,106,120,2,78,286,225,290,38,32,73,0,0,29,11,45,36,9
termux-app (Java),151,136,236,17,93,419,261,295,62,152,108,6,0,22,28,82,13,0
presto (Java),10252,1882,12076,207,2072,12262,10950,20233,5195,6151,5867,202,0,2939,1555,8138,558,6
wiremock (Java),662,169,1005,6,290,1574,1050,1952,949,436,476,2,0,224,194,1150,71,1
CtCI-6th-Edition (Java),151,99,164,9,80,124,174,215,30,18,158,6,0,18,19,16,7,5
SpringCloud (Java),0,3,4,0,1,13,6,3,2,1,0,0,0,1,0,2,0,0
DataX (Java),203,35,249,1,118,237,276,415,71,66,155,2,0,45,14,154,11,1
kafka-ui (Java),161,70,463,0,31,382,578,726,175,190,130,0,0,114,45,223,50,0
flyway (Java),205,208,616,11,51,355,783,673,328,108,273,6,0,253,333,369,45,0
interviews (Java),27,67,149,27,24,50,204,88,210,43,49,0,0,31,83,238,0,0
spark (Java),86,30,161,1,57,331,188,297,51,103,68,5,0,19,8,138,4,0
ansj_seg (Java),114,33,88,4,74,129,104,165,134,41,115,1,0,33,1,129,0,1
shardingsphere-elasticjob (Java),16,61,152,0,47,646,200,373,199,235,133,0,0,60,73,309,16,0
Calligraphy (Java),8,1,9,0,3,15,6,23,3,3,17,0,0,2,0,4,0,0
redisson (Java),3254,710,10535,159,740,4473,10559,12985,2075,2104,1774,55,0,1839,264,2806,97,6
Aegis (Java),93,94,194,1,81,530,258,621,94,49,191,5,0,69,8,94,13,0
BookReader (Java),128,76,187,43,133,755,323,581,55,111,176,0,0,38,70,94,55,0
lawnchair (Java),791,868,1492,248,741,3898,1943,4226,547,571,1002,23,0,482,524,662,257,2
JsonPath (Java),95,53,216,0,15,181,282,407,199,440,96,1,0,49,50,375,1,1
android-interview-questions (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VirtualApp (Java),200,173,474,42,154,655,578,925,162,112,298,5,0,92,100,177,34,1
javacv (Java),265,28,247,35,168,357,258,406,34,53,129,1,0,29,8,49,8,1
aws-doc-sdk-examples (Java),247,5,439,7,273,271,494,678,268,489,168,7,0,85,26,218,3,0
shenyu (Java),2223,277,1664,24,2183,3344,1555,4672,1567,1121,931,7,0,759,253,2326,120,0
Android-ObservableScrollView (Java),6,44,77,0,52,283,93,261,81,73,52,0,0,17,19,74,94,0
MVPArms (Java),52,9,46,0,21,118,41,151,42,31,71,0,0,11,15,49,21,0
subsampling-scale-image-view (Java),32,14,38,8,30,76,48,90,11,7,34,0,0,8,4,14,3,0
UltimateAndroidReference (Java),1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
metrics (Java),76,20,248,3,68,1045,218,764,218,165,304,0,0,80,42,318,52,6
android-gif-drawable (Java),25,14,83,5,32,125,77,115,13,13,65,2,0,8,6,10,2,0
java8-tutorial (Java),4,0,0,0,5,0,0,1,0,0,2,0,0,0,1,0,1,0
quickstart-android (Java),20,18,58,1,73,233,40,201,38,33,29,0,0,6,3,37,2,0
Mindustry (Java),271,388,794,347,263,1552,758,1745,380,351,695,15,0,135,211,240,171,1
logstash (Java),323,109,561,13,72,649,628,981,416,240,359,2,0,92,84,491,15,1
zheng (Java),367,51,331,0,332,113,395,526,21,11,60,6,0,117,60,62,4,0
AndroidAutoLayout (Java),12,4,12,0,8,44,10,31,28,17,60,0,0,13,35,36,0,1
