,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
DevToys (C#),47,0,15,95,127,4,5,17,0,2,52,9,112,251,10
EquinoxProject (C#),9,0,3,3,19,0,0,7,0,0,13,0,17,19,2
docfx (C#),44,0,15,62,150,4,12,48,0,9,214,4,199,251,34
CAP (C#),36,0,9,51,91,12,13,29,0,3,42,3,92,123,8
EverythingToolbar (C#),7,1,7,26,38,0,1,0,0,6,14,1,8,59,3
LittleBigMouse (C#),12,0,13,27,62,8,11,2,0,8,26,8,53,111,7
QuickLook (C#),12,1,3,16,35,1,1,1,0,4,20,5,28,28,0
usbipd-win (C#),5,0,0,11,24,1,1,5,0,0,22,0,16,7,1
btcpayserver (C#),178,1,38,77,317,36,37,86,0,5,192,12,382,558,29
Skinner (C#),4,1,2,37,44,0,0,2,0,2,9,19,39,10,14
Templates (C#),14,0,4,10,25,6,8,15,0,0,15,0,38,53,0
eShop (C#),45,1,8,41,99,3,4,29,0,1,60,5,101,135,6
copy-dialog-lunar-lander (C#),0,0,0,7,7,0,0,0,0,0,2,0,2,6,0
luban (C#),18,0,5,48,120,2,62,24,0,0,115,3,111,127,15
Open-XML-SDK (C#),2258,4,17,1304,3532,21,26,62,0,50,121,10,3509,235,18
SteamAchievementManager (C#),6,1,1,5,10,0,1,0,0,0,2,1,11,21,1
winsw (C#),5,0,0,9,19,0,0,3,0,0,8,0,13,23,3
Mirror (C#),31,1,5,247,173,3,8,12,0,2,216,21,334,305,16
ArchiSteamFarm (C#),21,0,4,20,46,0,0,8,0,0,24,3,39,110,2
websocket-sharp (C#),4,0,18,6,24,0,1,0,0,1,3,6,9,5,9
CleanArchitecture (C#),12,0,0,18,28,1,1,13,0,0,21,2,34,32,1
SharpZipLib (C#),5,0,7,27,31,3,6,5,0,2,29,8,25,44,29
MediatR (C#),23,0,1,11,41,0,2,17,0,0,32,0,54,70,2
NETworkManager (C#),13,0,3,175,177,28,5,12,0,11,148,18,202,143,1
CreamInstaller (C#),2,0,0,7,5,0,0,0,0,0,1,0,2,25,1
Remotely (C#),53,0,3,51,98,5,1,33,0,1,49,6,59,117,5
runner (C#),104,5,23,107,242,29,40,38,0,4,80,14,184,508,33
Scrutor (C#),5,0,1,1,12,0,1,1,0,0,2,4,8,83,0
Unigram (C#),289,15,68,423,796,17,27,13,0,38,305,46,305,499,33
sharpkeys (C#),0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
OrchardCore (C#),747,8,63,304,1216,144,169,343,2,11,589,43,1438,2063,30
npoi (C#),195,98,293,242,1376,64,78,221,2,241,689,381,817,512,800
ExcelDataReader (C#),26,0,8,10,41,8,8,0,0,1,14,1,37,76,8
Hangfire (C#),77,1,6,106,203,19,20,17,0,4,71,12,148,155,14
Newtonsoft.Json (C#),67,4,50,40,313,9,17,102,0,18,402,56,348,492,31
wpftoolkit (C#),74,1,46,46,236,11,6,8,0,11,120,20,174,259,33
EarTrumpet (C#),16,0,5,50,58,1,3,4,0,3,10,1,38,185,5
BililiveRecorder (C#),24,0,5,38,66,8,11,25,0,2,33,4,95,178,3
cake (C#),125,1,13,69,226,42,71,157,0,6,100,12,394,784,39
StabilityMatrix (C#),66,0,12,142,262,13,14,26,0,4,115,10,210,290,6
reactive (C#),87,2,10,108,362,63,39,61,1,11,365,14,385,354,50
ParrelSync (C#),0,0,0,4,3,0,0,0,0,1,1,1,4,10,2
WingetUI (C#),16,0,9,27,66,1,3,3,0,1,25,4,34,51,9
LiveCharts2 (C#),38,0,7,67,100,7,12,33,1,0,46,17,92,212,13
