,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
recastnavigation (C++),232,145,301,15,130,297,116,599,67,170,256,23,88,1,69,88,92,22
sentencepiece (C++),235,211,628,9,134,253,368,893,94,296,209,29,106,8,75,294,8,8
spdlog (C++),79,9,178,4,79,111,174,480,77,84,175,21,18,0,33,48,94,6
libco (C++),0,0,3,0,2,0,2,1,0,0,4,0,4,0,0,0,0,0
C-Plus-Plus (C++),118,81,158,10,56,101,155,204,39,22,76,13,7,7,29,29,0,14
Magisk (C++),17,55,44,0,20,51,51,69,19,49,83,3,18,5,21,28,5,4
devilutionX (C++),150,207,423,9,95,164,168,476,72,240,202,21,18,1,40,71,9,6
uWebSockets.js (C++),10,2,12,0,1,0,1,14,2,8,9,0,1,0,0,2,0,0
FastLED (C++),86,13,48,5,39,114,61,122,15,68,81,8,0,0,41,33,24,0
devilution (C++),2,1,4,1,0,5,3,9,2,3,3,0,3,1,1,1,2,0
Notepad3 (C++),119,96,352,5,129,107,193,552,97,113,134,8,87,3,54,145,4,9
chineseocr_lite (C++),53,86,109,33,58,129,105,236,38,35,51,3,29,6,22,37,0,5
DirectX-Graphics-Samples (C++),2039,551,3066,74,4810,2965,1317,10798,466,2058,9069,14,225,71,1170,357,1935,64
node-sass (C++),86,133,387,3,36,148,330,530,165,101,177,94,53,2,105,144,10,3
tracy (C++),210,179,580,47,183,560,348,1061,72,260,331,15,97,6,64,98,27,4
azerothcore-wotlk (C++),1590,2225,4081,352,1817,7042,1957,11191,2117,2632,3458,92,281,865,688,3744,740,152
flameshot (C++),94,114,276,7,150,487,147,905,140,147,160,7,24,33,165,244,2,1
pybind11 (C++),168,77,208,2,88,20,84,234,47,172,283,49,74,1,74,112,19,8
SimpleNES (C++),24,11,27,0,24,27,29,89,4,4,18,0,1,0,2,7,2,0
caffe (C++),139,63,233,2,64,458,99,555,111,176,351,18,158,35,210,104,48,6
WiFiManager (C++),13,27,21,1,52,46,41,79,10,6,8,0,2,0,3,12,0,0
glslViewer (C++),23,16,86,1,28,75,20,59,14,74,39,1,11,0,0,4,0,0
R3nzSkin (C++),71,128,257,12,58,208,162,384,52,111,136,7,16,1,44,57,1,1
NanaZip (C++),627,1920,3458,156,979,1867,2665,4803,428,1270,976,42,395,9,252,333,32,56
synergy-core (C++),306,277,432,32,199,923,343,1463,221,280,323,13,198,60,131,337,93,14
nanogui (C++),153,81,90,2,140,130,75,317,27,24,66,5,12,3,13,21,3,3
interpret (C++),99,9,203,4,41,16,92,135,30,182,50,1,4,0,81,94,10,0
libphonenumber (C++),102,84,220,5,17,67,188,378,273,95,107,8,41,14,11,275,2,21
CppTemplateTutorial (C++),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
node.bcrypt.js (C++),0,0,0,0,0,2,0,0,0,4,3,0,3,0,0,0,0,0
handy (C++),45,19,66,3,45,70,58,118,31,26,45,3,17,2,2,47,0,3
Sunshine (C++),59,48,246,1,55,91,188,303,32,58,86,11,56,4,26,30,7,4
faiss (C++),106,53,494,95,166,310,103,436,102,472,598,6,112,28,27,180,15,92
MegEngine (C++),1156,338,2267,260,603,1685,1147,4414,1432,1603,1368,81,195,23,1521,1970,152,35
conky (C++),306,140,469,10,157,245,173,873,121,253,357,33,66,1,106,190,59,22
TranslucentTB (C++),32,37,104,2,27,145,77,235,61,101,55,5,19,0,13,101,1,6
arduino-esp32 (C++),237,386,743,10,274,330,728,725,127,487,195,8,79,17,73,341,25,12
retdec (C++),1447,1653,3132,77,973,2182,1627,5488,1265,1006,1094,75,93,57,469,1428,242,80
EasyPR (C++),67,8,17,0,66,25,10,59,5,0,5,3,0,0,0,2,0,0
protobuf (C++),350,652,1596,46,269,1015,1382,3102,1438,917,712,81,250,48,261,1527,86,81
cryptopp (C++),321,174,582,55,183,369,188,1010,204,372,470,30,184,27,360,455,14,15
ZLMediaKit (C++),253,263,492,22,231,671,355,1021,154,238,268,6,89,1,162,198,52,7
BackgroundMusic (C++),202,368,231,52,91,194,250,832,18,336,166,35,55,0,13,194,9,3
Sigil (C++),261,340,914,24,207,1405,1033,1967,500,158,317,17,132,83,85,523,23,1
yoga (C++),73,61,246,1,57,126,743,946,21,146,76,9,11,5,18,55,9,4
cocos2d-x (C++),2137,1380,2407,163,1842,4878,2565,7027,903,1408,1608,60,1120,787,1742,1391,381,23
modern-cpp-tutorial (C++),0,0,2,0,2,6,2,4,1,0,13,2,5,0,2,1,1,0
brpc (C++),739,622,1540,63,534,1003,1075,2116,441,586,1086,75,538,72,185,655,147,68
gnuradio (C++),1006,251,1511,175,834,1815,1000,1872,315,1036,950,12,604,13,229,867,30,23
magnum (C++),1583,200,1292,16,336,1044,1235,4027,3696,2179,1261,176,42,3,522,5195,200,44
LANDrop (C++),1,0,4,0,3,36,4,36,4,11,12,0,5,0,2,14,1,0
notepad-- (C++),9,2,5,0,12,3,6,18,12,3,9,0,6,0,7,13,0,0
annoy (C++),2,18,15,2,4,26,27,15,1,1,8,0,3,0,0,1,8,3
DearPyGui (C++),42,53,233,4,142,209,76,421,43,457,255,1,15,0,26,24,40,4
gemma.cpp (C++),22,10,41,1,10,30,10,34,18,35,24,0,3,0,1,22,5,0
mold (C++),452,438,927,87,452,932,646,1767,402,693,1162,326,275,37,219,521,93,92
dxvk (C++),425,292,1734,17,261,880,1395,2616,485,482,400,51,195,26,116,592,15,21
ncnn (C++),46,61,1432,40,95,117,537,1204,895,479,553,28,50,18,2083,1037,17,14
AI-on-the-edge-device (C++),57,57,71,22,30,149,89,95,29,22,44,3,10,4,29,32,0,6
tiny-dnn (C++),532,204,893,43,181,491,351,1479,270,517,593,52,59,6,175,441,37,26
ledger (C++),91,143,396,4,99,279,227,524,169,84,202,51,121,4,19,127,13,19
cutter (C++),83,118,365,12,101,699,190,901,239,254,189,4,79,7,68,342,18,2
ORB_SLAM3 (C++),327,199,339,25,157,308,271,938,215,77,183,14,58,15,85,183,26,4
AliSQL (C++),1653,2437,5385,1131,2097,6238,5540,13919,1355,2670,2697,156,1123,451,2155,1924,203,84
hyperscan (C++),204,410,622,13,147,380,207,886,217,397,586,23,128,49,89,152,78,22
electron (C++),208,298,637,16,225,1137,484,1709,477,473,226,18,156,29,231,726,347,16
gameplay (C++),454,247,535,72,253,1049,336,1181,230,385,236,35,157,127,255,384,51,16
Cpp-Primer (C++),281,23,336,5,81,190,150,282,28,31,289,89,63,4,15,9,2,43
CLRS (C++),24,14,52,14,13,53,35,86,5,9,38,2,8,3,22,8,0,3
magic_enum (C++),129,100,201,2,66,155,74,395,31,97,173,19,33,0,50,50,21,18
noMeiryoUI (C++),11,2,30,0,10,28,18,47,0,38,12,0,4,4,6,9,1,0
mace (C++),229,75,701,31,111,164,563,946,227,213,477,30,116,1,82,279,3,9
SPTAG (C++),107,84,341,11,60,121,208,502,75,116,134,18,78,1,47,102,4,5
