,entity minimal-entity data-provider boundary,entity boundary,commander boundary degenerate,controller lazy-class data-class small-class,entity commander boundary,data-provider lazy-class degenerate,commander boundary data-class,large-class degenerate,minimal-entity boundary,lazy-class,pure-controller degenerate,entity data-provider boundary lazy-class,commander,data-provider degenerate,entity data-provider boundary,entity boundary small-class,data-provider,entity commander boundary lazy-class,data-provider boundary data-class,boundary small-class,factory pure-controller,entity data-provider data-class small-class,controller data-class small-class,boundary lazy-class data-class,commander data-class,entity data-provider boundary lazy-class degenerate,controller small-class,entity degenerate,entity small-class,data-class small-class,factory degenerate,data-provider small-class,data-provider lazy-class small-class,large-class lazy-class degenerate,boundary controller degenerate,pure-controller degenerate small-class,entity,factory controller degenerate,lazy-class data-class small-class,entity lazy-class degenerate,lazy-class degenerate,boundary controller lazy-class degenerate,commander boundary lazy-class degenerate,boundary large-class degenerate,commander boundary lazy-class,controller lazy-class small-class,controller lazy-class degenerate,commander boundary small-class,entity minimal-entity,boundary large-class,entity data-provider small-class,commander boundary data-class small-class,boundary data-class,entity factory controller small-class,minimal-entity lazy-class,controller data-class,data-provider lazy-class,data-provider boundary degenerate,entity lazy-class small-class,unclassified,factory controller lazy-class degenerate,entity lazy-class,commander degenerate,pure-controller,factory pure-controller degenerate,entity data-class small-class,controller lazy-class,commander lazy-class small-class,entity minimal-entity lazy-class,degenerate,data-provider boundary lazy-class small-class,entity data-class,entity factory controller,factory controller data-class small-class,minimal-entity data-provider boundary,entity boundary data-class,entity factory controller lazy-class degenerate,entity factory controller data-class,factory degenerate small-class,boundary data-class small-class,data-provider boundary lazy-class,factory controller lazy-class data-class small-class,data-provider data-class,commander boundary,entity boundary data-class small-class,boundary controller,factory pure-controller degenerate small-class,entity boundary degenerate,factory controller lazy-class,boundary lazy-class,minimal-entity boundary lazy-class,entity boundary lazy-class,entity factory controller degenerate,controller degenerate,entity boundary lazy-class small-class,data-provider boundary data-class small-class,factory controller,boundary lazy-class data-class small-class,commander boundary large-class,entity data-provider boundary degenerate,factory small-class,entity minimal-entity commander boundary,entity minimal-entity factory controller,entity data-provider,entity factory controller data-class small-class,minimal-entity commander boundary,lazy-class data-class,boundary lazy-class small-class,pure-controller small-class,lazy-class small-class,data-provider data-class small-class,boundary degenerate,entity data-provider boundary data-class,minimal-entity controller,data-provider boundary small-class,entity commander boundary degenerate,minimal-entity,boundary degenerate small-class,entity data-provider boundary small-class,factory pure-controller small-class,boundary,minimal-entity factory controller,empty,minimal-entity data-provider,boundary large-class lazy-class degenerate,commander boundary lazy-class small-class,small-class,data-provider boundary lazy-class degenerate,controller,entity minimal-entity boundary lazy-class,data-provider boundary,entity data-provider boundary data-class small-class,entity commander boundary lazy-class degenerate,factory controller data-class,boundary lazy-class degenerate,entity boundary lazy-class degenerate,entity minimal-entity boundary,entity data-provider factory controller data-class,commander small-class,factory controller small-class,commander lazy-class degenerate,data-provider boundary large-class,data-class,factory,factory controller lazy-class small-class,large-class,commander data-class small-class,degenerate small-class,commander lazy-class
micronaut-core (Java),0,130,3,0,10,4,0,0,1,3,5,0,11,0,6,47,17,0,4,8,0,0,2,0,0,0,10,0,3,5,0,2,1,0,0,48,2,1,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,5,0,1,1,0,0,62,0,0,1,1,0,0,0,0,0,27,0,0,1,0,1,1,0,0,6,0,1,0,2,38,0,0,2,8,0,0,0,0,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,6,7,18,0,0,6,0,0,63,0,0,92,0,250,0,0,0,37,1,5,0,8,0,0,0,1,1,3,0,6,4,1,0,15,0,0,0,1,46,0
DanmakuFlameMaster (Java),0,3,0,0,1,0,0,0,0,0,0,0,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
VirtualAPK (Java),0,13,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0
sonarqube (Java),0,316,19,0,295,5,1,1,2,2,57,0,596,0,15,156,153,0,18,26,0,0,0,0,3,0,27,1,22,8,4,9,1,0,0,262,17,0,0,0,5,0,0,1,0,0,0,291,0,0,0,3,9,22,0,0,1,0,0,646,0,0,5,17,0,1,1,0,0,139,2,0,2,0,0,0,0,0,9,10,1,0,65,741,4,1,12,17,0,2,0,1,0,19,0,49,1,0,0,0,0,3,0,0,0,0,3,0,91,2,79,101,0,0,9,1,0,159,0,4,206,0,883,0,0,0,233,1,16,0,47,0,0,0,1,2,11,0,332,25,0,0,28,0,0,0,2,51,0
spring-cloud-examples (Java),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
AndroidViewAnimations (Java),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte-buddy (Java),0,15,1,0,12,0,0,0,0,0,9,0,115,1,0,16,17,0,0,36,0,0,1,0,0,0,5,0,2,2,6,3,0,0,0,38,6,1,0,0,3,0,0,0,0,0,1,30,1,0,0,0,0,7,0,0,0,0,0,109,0,0,0,19,0,0,0,0,0,38,1,0,4,0,0,0,0,0,3,3,0,0,0,100,0,0,2,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,54,7,8,52,0,0,4,0,0,41,0,0,67,0,172,0,0,0,66,2,23,0,2,0,0,0,2,0,3,0,57,4,0,0,0,0,0,0,1,13,0
CircleImageView (Java),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet-alert-dialog (Java),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jib (Java),0,32,0,0,5,0,0,0,2,0,7,0,30,0,6,10,13,0,5,1,0,0,0,0,1,0,2,0,1,2,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,7,0,0,0,0,0,46,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,2,1,0,2,50,0,0,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,15,1,21,12,0,0,3,0,0,9,0,0,24,0,117,0,0,0,3,2,5,0,14,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,3,0
