,entity minimal-entity data-provider boundary,entity boundary,commander boundary degenerate,controller lazy-class data-class small-class,entity commander boundary,data-provider lazy-class degenerate,commander boundary data-class,large-class degenerate,minimal-entity boundary,lazy-class,pure-controller degenerate,entity data-provider boundary lazy-class,commander,data-provider degenerate,entity data-provider boundary,entity boundary small-class,data-provider,entity commander boundary lazy-class,data-provider boundary data-class,boundary small-class,factory pure-controller,entity data-provider data-class small-class,controller data-class small-class,boundary lazy-class data-class,commander data-class,entity data-provider boundary lazy-class degenerate,controller small-class,entity degenerate,entity small-class,data-class small-class,factory degenerate,data-provider small-class,data-provider lazy-class small-class,large-class lazy-class degenerate,boundary controller degenerate,pure-controller degenerate small-class,entity,factory controller degenerate,lazy-class data-class small-class,entity lazy-class degenerate,lazy-class degenerate,boundary controller lazy-class degenerate,commander boundary lazy-class degenerate,boundary large-class degenerate,commander boundary lazy-class,controller lazy-class small-class,controller lazy-class degenerate,commander boundary small-class,entity minimal-entity,boundary large-class,entity data-provider small-class,commander boundary data-class small-class,boundary data-class,entity factory controller small-class,minimal-entity lazy-class,controller data-class,data-provider lazy-class,data-provider boundary degenerate,entity lazy-class small-class,unclassified,factory controller lazy-class degenerate,entity lazy-class,commander degenerate,pure-controller,factory pure-controller degenerate,entity data-class small-class,controller lazy-class,commander lazy-class small-class,entity minimal-entity lazy-class,degenerate,data-provider boundary lazy-class small-class,entity data-class,entity factory controller,factory controller data-class small-class,minimal-entity data-provider boundary,entity boundary data-class,entity factory controller lazy-class degenerate,entity factory controller data-class,factory degenerate small-class,boundary data-class small-class,data-provider boundary lazy-class,factory controller lazy-class data-class small-class,data-provider data-class,commander boundary,entity boundary data-class small-class,boundary controller,factory pure-controller degenerate small-class,entity boundary degenerate,factory controller lazy-class,boundary lazy-class,minimal-entity boundary lazy-class,entity boundary lazy-class,entity factory controller degenerate,controller degenerate,entity boundary lazy-class small-class,data-provider boundary data-class small-class,factory controller,boundary lazy-class data-class small-class,commander boundary large-class,entity data-provider boundary degenerate,factory small-class,entity minimal-entity commander boundary,entity minimal-entity factory controller,entity data-provider,entity factory controller data-class small-class,minimal-entity commander boundary,lazy-class data-class,boundary lazy-class small-class,pure-controller small-class,lazy-class small-class,data-provider data-class small-class,boundary degenerate,entity data-provider boundary data-class,minimal-entity controller,data-provider boundary small-class,entity commander boundary degenerate,minimal-entity,boundary degenerate small-class,entity data-provider boundary small-class,factory pure-controller small-class,boundary,minimal-entity factory controller,empty,minimal-entity data-provider,boundary large-class lazy-class degenerate,commander boundary lazy-class small-class,small-class,data-provider boundary lazy-class degenerate,controller,entity minimal-entity boundary lazy-class,data-provider boundary,entity data-provider boundary data-class small-class,entity commander boundary lazy-class degenerate,factory controller data-class,boundary lazy-class degenerate,entity boundary lazy-class degenerate,entity minimal-entity boundary,entity data-provider factory controller data-class,commander small-class,factory controller small-class,commander lazy-class degenerate,data-provider boundary large-class,data-class,factory,factory controller lazy-class small-class,large-class,commander data-class small-class,degenerate small-class,commander lazy-class
Notepad3 (C++),0,27,0,0,2,0,0,0,0,0,1,0,1,0,5,3,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,2,0,0,17,0,34,0,0,0,2,0,0,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
chineseocr_lite (C++),0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
DirectX-Graphics-Samples (C++),0,51,0,0,11,0,1,0,1,9,1,0,13,0,8,6,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,1,0,1,72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,19,8,0,0,11,0,0,8,0,0,48,0,703,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0
node-sass (C++),0,5,0,0,1,0,0,0,0,1,1,0,1,3,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,16,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,11,0,0,12,0,73,0,0,0,8,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0
tracy (C++),0,28,0,0,7,0,0,0,0,1,0,0,6,0,6,1,7,0,0,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,10,0,0,20,0,0,17,0,631,0,0,0,2,0,0,0,8,0,0,0,0,0,1,0,16,0,0,0,2,0,0,0,4,4,0
azerothcore-wotlk (C++),0,118,1,0,68,0,1,0,6,0,12,0,326,0,25,93,39,0,5,14,0,0,0,0,2,0,49,0,1,3,0,23,3,0,0,289,0,0,0,0,7,0,1,0,4,0,2,48,0,0,0,4,3,0,0,0,1,0,0,141,0,0,10,3,0,0,0,9,0,91,0,0,0,0,1,0,0,0,725,11,2,0,2,384,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,11,48,7,13,0,0,123,0,0,601,0,0,145,0,1198,0,0,1,183,0,1,0,60,0,0,0,1,0,7,0,354,5,0,0,3,0,0,0,4,98,0
flameshot (C++),0,15,1,0,3,0,0,0,0,0,0,0,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,4,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,2,0,0,6,0,0,26,0,16,0,0,0,7,1,1,0,2,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,3,0
pybind11 (C++),0,8,0,0,1,4,0,0,0,2,1,0,3,0,5,8,5,0,3,3,0,0,1,0,0,0,1,0,0,9,0,18,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,20,0,0,29,0,0,4,0,540,0,0,0,14,1,0,0,11,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,19,0
SimpleNES (C++),0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
caffe (C++),0,8,0,0,2,0,0,0,1,0,1,0,25,0,1,5,4,0,1,60,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,20,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,8,0,0,4,0,0,6,0,0,8,0,367,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,1,3,0
WiFiManager (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glslViewer (C++),0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3nzSkin (C++),0,6,0,0,0,0,0,0,0,0,1,0,7,0,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,9,0,0,4,0,0,10,0,193,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,3,2,0
NanaZip (C++),0,87,1,0,10,0,0,0,0,0,0,0,38,0,23,46,44,0,3,13,0,0,0,0,2,0,1,0,0,2,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,7,0,0,0,0,1,0,80,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,12,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,20,0,0,10,0,0,104,0,420,0,0,0,27,0,1,0,36,0,0,0,0,0,2,0,18,0,0,0,3,0,0,0,2,1,0
synergy-core (C++),0,19,0,0,10,0,0,0,0,1,5,0,10,0,3,3,5,0,0,4,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,10,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,2,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,0,0,6,0,0,14,0,0,42,0,118,0,0,0,4,3,1,0,8,0,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,3,0
nanogui (C++),0,9,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,48,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
interpret (C++),0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,7,0,84,0,0,0,2,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
libphonenumber (C++),0,10,0,0,0,0,0,0,0,0,15,0,0,0,1,5,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,3,0,0,5,0,0,5,0,86,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
CppTemplateTutorial (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
node.bcrypt.js (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
handy (C++),0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,12,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunshine (C++),0,26,0,0,5,0,0,0,0,0,0,0,3,0,1,4,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,12,0,162,0,0,0,6,0,2,0,3,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1,2,0
faiss (C++),0,10,0,0,10,0,0,0,0,0,1,0,13,1,5,5,19,0,0,6,0,0,0,0,0,0,5,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,1,0,0,0,0,0,69,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,7,0,0,24,0,0,17,0,0,21,0,149,0,0,0,17,0,3,0,23,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,7,1,0
MegEngine (C++),1,104,16,0,26,2,3,0,3,11,26,0,66,8,15,52,59,0,13,31,0,0,0,1,2,0,18,0,0,8,0,52,1,0,0,147,1,0,0,0,3,0,1,0,0,0,2,91,0,0,0,3,1,0,0,0,5,12,0,152,0,0,8,1,0,0,0,0,0,172,0,0,0,0,0,1,0,0,0,22,1,0,0,83,1,0,1,2,0,4,0,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,2,0,22,2,17,142,0,0,71,0,0,141,0,0,143,0,1612,0,0,0,105,1,9,0,141,0,0,0,4,2,10,0,40,0,1,0,3,0,0,0,7,183,0
conky (C++),0,12,1,0,5,1,1,0,0,1,1,0,4,0,8,9,11,0,1,15,0,0,0,0,1,0,0,0,0,6,0,14,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,6,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,24,0,0,23,1,0,11,0,600,0,0,0,19,0,0,0,32,0,0,0,3,1,0,0,6,0,1,0,1,0,0,0,1,8,0
