,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
recastnavigation (C++),21,0,93,39,126,0,1,5,0,12,52,20,143,241,19
sentencepiece (C++),22,0,57,13,104,1,0,8,0,4,41,12,74,171,26
spdlog (C++),36,4,40,36,132,0,2,34,0,3,32,15,138,202,10
libco (C++),0,0,0,1,0,0,0,0,0,0,0,1,1,35,1
C-Plus-Plus (C++),9,1,7,6,22,0,2,0,0,0,5,1,17,24,24
Magisk (C++),7,0,6,13,26,0,0,0,0,1,16,3,38,97,11
devilutionX (C++),18,0,88,13,129,0,10,4,0,4,24,11,91,225,19
uWebSockets.js (C++),1,0,6,0,7,0,0,0,0,0,1,1,5,23,0
FastLED (C++),1,0,8,26,13,0,0,3,0,3,8,2,14,99,4
devilution (C++),1,0,0,1,3,0,0,0,0,1,1,0,1,115,0
Notepad3 (C++),42,3,19,6,80,0,3,5,0,6,19,3,20,34,9
chineseocr_lite (C++),6,1,8,2,11,0,0,0,0,0,2,1,3,22,2
DirectX-Graphics-Samples (C++),83,7,82,129,287,0,1,7,0,10,28,30,89,703,33
node-sass (C++),9,0,28,4,49,0,2,17,0,9,56,3,57,73,12
tracy (C++),44,2,41,47,125,0,2,8,0,1,36,15,91,631,26
azerothcore-wotlk (C++),313,15,295,1218,1748,730,60,315,0,82,1854,49,2711,1198,141
flameshot (C++),25,0,11,40,123,0,1,3,0,19,53,5,29,16,8
pybind11 (C++),23,0,86,9,110,0,2,15,0,11,84,35,156,540,21
SimpleNES (C++),14,4,1,2,16,0,0,1,0,0,2,1,2,2,2
caffe (C++),16,1,19,124,179,14,18,15,0,2,50,8,175,367,20
WiFiManager (C++),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
glslViewer (C++),3,0,8,5,11,0,0,0,0,0,0,1,6,28,2
R3nzSkin (C++),12,1,24,29,56,0,1,3,0,0,12,12,49,193,11
NanaZip (C++),175,2,143,100,415,0,2,3,0,1,31,30,178,420,80
synergy-core (C++),37,0,38,54,161,2,7,17,0,16,80,9,72,118,23
nanogui (C++),11,0,2,9,34,0,0,0,0,1,3,4,7,48,10
interpret (C++),5,1,28,0,35,0,0,1,0,1,17,5,13,84,4
libphonenumber (C++),16,0,16,12,49,2,4,23,0,2,42,4,38,86,12
CppTemplateTutorial (C++),0,0,0,0,1,0,0,0,0,0,3,0,3,60,0
node.bcrypt.js (C++),0,0,0,2,1,0,0,0,0,0,0,0,3,1,0
handy (C++),3,1,3,11,20,0,1,1,0,0,6,1,4,12,9
Sunshine (C++),38,1,19,26,71,0,3,2,0,0,12,7,47,162,10
faiss (C++),35,3,88,76,161,5,9,3,0,1,38,26,144,149,69
MegEngine (C++),215,14,435,347,1178,1,38,197,0,43,883,120,1051,1612,152
conky (C++),36,0,110,48,198,0,0,8,0,14,56,39,175,600,15
TranslucentTB (C++),19,0,9,19,54,0,0,1,0,1,14,2,20,17,8
arduino-esp32 (C++),25,0,14,28,85,2,3,2,0,10,31,3,22,40,34
retdec (C++),127,9,373,188,661,1,30,88,1,33,319,101,493,1512,133
EasyPR (C++),1,0,1,2,3,0,0,0,0,0,0,7,2,8,4
protobuf (C++),73,4,119,85,408,1,33,67,0,13,181,32,272,582,104
cryptopp (C++),26,1,96,64,249,9,4,15,0,22,193,20,189,324,53
ZLMediaKit (C++),66,3,73,89,177,0,5,9,0,8,58,22,124,83,56
BackgroundMusic (C++),24,0,16,5,47,0,0,0,0,0,2,6,6,11,1
Sigil (C++),40,3,15,98,168,5,16,10,1,3,37,9,70,198,34
yoga (C++),35,0,12,28,59,1,1,1,0,0,20,3,33,184,3
cocos2d-x (C++),419,27,132,808,897,9,23,23,2,34,634,34,784,278,274
