,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
DevToys (C#),70,32,348,27,172,295,232,518,110,352,211,3,1,49,14,165,13,1
EquinoxProject (C#),0,5,36,0,0,13,38,48,13,17,24,4,0,0,5,24,0,0
docfx (C#),25,65,299,62,47,272,234,531,276,484,579,25,3,96,81,551,508,1
CAP (C#),19,13,182,13,23,109,244,354,103,101,155,36,0,71,32,129,15,0
EverythingToolbar (C#),17,26,234,15,79,97,76,157,17,234,45,1,3,8,25,78,2,2
LittleBigMouse (C#),51,14,70,11,39,71,66,200,45,115,130,9,8,27,59,123,13,3
QuickLook (C#),19,7,42,21,64,70,32,149,24,77,44,1,0,24,20,91,10,0
usbipd-win (C#),0,0,12,0,3,66,15,59,76,154,14,2,0,4,0,174,0,7
btcpayserver (C#),71,78,833,30,57,135,999,1210,369,253,536,20,0,150,110,451,32,0
Skinner (C#),112,29,46,21,139,155,39,221,22,56,25,0,0,22,28,24,11,1
Templates (C#),0,0,27,10,3,6,70,83,20,7,30,3,0,7,1,15,0,0
eShop (C#),34,17,126,18,49,58,216,307,84,82,142,41,1,46,50,107,2,0
copy-dialog-lunar-lander (C#),5,1,4,10,8,48,2,50,3,3,6,0,1,3,2,3,7,0
luban (C#),12,57,458,68,30,267,232,799,525,230,120,3,0,110,580,454,69,0
Open-XML-SDK (C#),165,104,464,2756,166,4850,278,5601,569,1188,11739,84,0,449,381,1294,11,5
SteamAchievementManager (C#),11,19,40,3,10,20,44,48,1,16,15,0,1,5,4,0,0,0
winsw (C#),3,4,39,1,4,46,46,69,19,35,39,2,0,4,2,45,6,0
Mirror (C#),40,52,301,190,293,1376,155,683,342,735,138,6,1,46,48,639,234,10
ArchiSteamFarm (C#),18,18,319,5,32,53,119,157,56,342,134,3,0,6,0,125,0,0
websocket-sharp (C#),290,113,143,24,150,188,132,444,28,39,123,4,0,17,18,41,6,4
CleanArchitecture (C#),3,0,17,0,4,14,45,61,49,12,38,5,0,1,4,56,1,0
SharpZipLib (C#),198,62,149,73,179,321,188,297,149,169,189,2,3,30,36,292,9,2
MediatR (C#),14,0,41,0,1,29,65,81,87,18,41,0,0,3,5,107,1,0
