,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
pulsar (Java),418,11,136,1071,1222,51,84,316,0,28,640,77,794,893,283
hsweb-framework (Java),105,3,34,41,228,31,20,42,0,3,123,27,217,225,22
itstack-demo-design (Java),22,0,1,24,32,21,11,14,0,0,41,30,74,45,4
DoKit (Java),43,3,18,165,181,4,12,21,0,11,60,22,92,297,69
hutool (Java),188,3,97,79,506,53,48,317,0,10,623,79,630,472,184
Mybatis-PageHelper (Java),12,0,1,5,19,1,9,65,0,0,70,5,82,37,5
vert.x (Java),127,6,69,231,368,32,33,53,1,17,164,46,228,167,63
Android-skin-support (Java),8,0,4,69,36,4,2,3,1,2,17,2,23,32,7
SpringAll (Java),12,0,0,5,16,8,5,6,0,0,13,11,14,20,3
incubator-seata (Java),162,14,54,221,554,50,65,191,0,16,442,80,571,459,185
dataease (Java),32,1,10,34,79,11,5,13,0,1,34,18,72,503,56
MaterialEditText (Java),0,0,0,1,0,0,0,0,0,0,1,1,2,4,3
litho (Java),65,4,77,238,336,10,38,30,0,6,123,49,293,629,50
vhr (Java),20,0,0,3,31,0,1,1,0,0,8,18,15,28,7
keycloak (Java),584,32,460,951,1794,89,133,187,1,410,1065,453,1243,1177,653
cas (Java),1016,0,97,1240,2405,243,246,749,0,32,1389,50,2777,1934,187
MagicIndicator (Java),0,0,1,15,8,0,0,1,0,1,2,1,4,9,14
debezium (Java),192,4,141,398,660,76,61,60,2,22,335,56,422,461,139
from-java-to-kotlin (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
eladmin (Java),34,0,8,9,45,27,27,9,0,1,24,4,51,151,10
algs4 (Java),13,0,26,5,38,0,2,0,0,0,1,0,10,66,66
selenium (Java),173,1,152,219,461,67,88,74,0,13,221,85,333,369,74
AndroidSwipeLayout (Java),3,0,0,7,9,0,0,0,0,0,5,0,3,3,2
JustAuth (Java),9,0,4,4,47,0,0,5,0,0,16,1,13,52,10
litemall (Java),81,1,2,39,117,12,10,9,0,0,14,24,69,61,77
Hystrix (Java),51,0,53,58,128,17,23,23,0,11,70,29,91,96,19
android-async-http (Java),9,0,5,12,18,2,3,1,0,2,13,4,17,11,19
shardingsphere (Java),21,0,6,98,154,8,18,101,0,1,200,5,274,130,27
GitHub-Chinese-Top-Charts (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
languagetool (Java),128,4,187,328,406,36,97,185,7,118,589,38,688,250,205
trino (Java),1315,14,1378,1492,4006,303,465,625,4,156,2016,432,3194,1657,804
Leaf (Java),4,0,0,2,7,0,0,1,0,0,3,3,6,14,6
HikariCP (Java),8,0,2,25,26,2,5,15,0,2,31,3,26,12,13
AgentWeb (Java),3,2,1,21,22,0,0,2,0,0,3,2,10,33,8
PojavLauncher (Java),8,0,9,79,75,1,4,4,0,5,23,8,46,107,18
glide-transformations (Java),0,0,3,0,7,0,1,1,0,0,2,0,1,4,9
atlas (Java),27,1,22,44,81,3,3,5,0,1,23,21,77,159,12
jvm-sandbox (Java),16,0,10,20,58,2,5,14,0,1,34,5,47,96,17
datahub (Java),366,7,99,167,654,259,218,274,0,29,469,63,787,465,133
Android-PickerView (Java),2,1,1,14,10,0,0,2,0,0,2,3,8,15,2
Ehviewer_CN_SXJ (Java),41,4,7,135,132,5,4,26,0,4,37,10,61,96,50
react-native-image-picker (Java),0,0,2,2,3,1,0,2,0,1,4,1,3,3,0
jedis (Java),43,0,67,221,196,2,8,26,0,0,69,63,138,162,83
rest-assured (Java),28,3,32,40,192,14,15,36,0,1,172,19,117,121,29
material-theme-jetbrains (Java),12,1,13,27,144,21,10,16,0,12,170,4,142,34,5
flowable-engine (Java),761,65,204,1325,2252,131,247,507,2,92,917,425,1874,1175,526
halo (Java),182,3,32,156,380,10,41,62,0,4,131,24,315,338,53
springboot-learning-example (Java),8,0,3,9,22,5,2,6,0,0,17,7,31,17,6
lottie-android (Java),21,2,29,33,70,14,11,7,0,0,17,14,47,69,17
SwipeBackLayout (Java),2,0,0,5,3,0,0,0,0,0,0,0,0,3,2
zookeeper (Java),64,1,35,329,271,1,14,47,0,7,134,25,219,194,132
MPAndroidChart (Java),22,4,7,42,74,1,6,20,0,1,37,8,55,42,41
openapi-generator (Java),87,13,69,129,448,16,39,128,0,4,456,34,232,200,196
JsBridge (Java),2,2,0,6,5,0,0,0,0,0,1,0,2,7,1
SmartTabLayout (Java),6,0,3,4,11,0,1,0,0,0,2,2,9,3,2
dolphinscheduler (Java),220,2,158,381,757,97,100,177,0,11,459,141,712,771,159
Toasty (Java),0,0,0,0,1,0,1,1,0,0,2,0,3,2,0
spring-boot-demo (Java),25,0,4,45,75,14,14,24,1,1,106,3,133,177,9
graphql-java (Java),87,5,123,58,307,10,20,16,0,9,82,38,126,227,72
spring-analysis (Java),0,1,0,2,4,1,2,4,0,2,15,1,15,6,2
AndroidAsync (Java),12,2,6,31,51,3,2,12,0,4,21,1,38,81,34
Jetpack-MVVM-Best-Practice (Java),5,0,6,14,20,2,2,5,0,1,8,5,18,28,2
UltimateRecyclerView (Java),20,1,4,57,56,1,5,1,0,3,25,4,33,34,14
kestra (Java),166,3,18,239,366,20,46,79,0,7,150,5,449,280,33
okhttp-OkGo (Java),30,2,5,68,89,1,1,16,0,1,26,1,57,37,8
RxJava-Android-Samples (Java),2,1,0,24,12,0,0,0,0,0,0,0,4,7,5
nacos (Java),173,13,95,534,631,64,60,208,0,32,447,151,573,503,218
beam (Java),829,19,272,1199,2303,127,228,400,5,73,1089,100,1389,1620,314
PictureSelector (Java),15,1,6,66,61,4,10,2,0,3,16,8,40,168,31
Spring-Cloud-Platform (Java),32,1,1,14,30,19,16,2,0,0,8,26,31,69,16
canal (Java),57,3,30,152,168,9,22,31,0,2,67,48,119,183,62
resilience4j (Java),122,2,54,225,350,30,42,65,0,5,179,58,251,142,31
remusic (Java),36,0,2,118,85,2,3,6,0,0,7,23,30,63,25
RePlugin (Java),33,0,8,41,93,1,6,2,0,3,16,9,51,120,25
Stirling-PDF (Java),24,0,3,19,38,9,19,27,0,1,49,6,64,74,14
miaosha (Java),21,0,13,9,40,2,3,2,0,0,15,12,34,83,14
vjtools (Java),10,0,8,22,60,0,4,38,0,0,84,3,65,74,16
hugo (Java),1,0,0,0,2,0,0,1,0,0,2,0,0,1,0
