,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
auto (Java),0,2,0,3,22,0,0,0,0,15,165,0,0,0,20,0,0,1,0,320,0,0,0,0,0,0,0,2,0,0,87,2,8,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,37,3,0,1,0,2,9,0,0,0,0,0,1,0,0,0,218,0,3,0,20,0,0,0,19,0,0,32,283,0,25,0,0,1,0,0,11,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,1,140,0,0,0,0,4,0,42,0,0,0,0,0,0,0
dropwizard (Java),0,171,0,15,39,0,0,0,2,67,388,0,0,0,22,0,0,11,0,336,0,0,0,0,20,0,5,4,4,26,772,11,38,2,0,1,2,0,26,0,0,0,20,0,5,0,0,0,48,5,0,0,0,16,4,0,0,0,0,0,0,0,0,0,632,0,0,4,48,0,0,0,329,0,0,209,492,0,30,0,0,0,0,6,12,0,0,0,3,0,0,51,0,0,280,0,0,1,0,1,0,224,0,1,0,0,42,10,82,0,0,15,0,7,0,8
spring-boot-examples (Java),0,32,0,21,26,0,0,0,0,0,50,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,20,8,0,0,155,0,124,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,147,0,0,0,17,0,0,0,261,0,0,34,54,0,43,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,272,0,0,0,0,0,0,90,0,0,0,0,23,0,0,0,0,0,0,12,0,0
react-native-video (Java),0,9,0,0,5,0,0,0,0,2,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,65,2,6,0,0,1,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,55,0,1,0,1,0,0,0,5,0,0,5,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,6,0,0,0,0,10,0,37,0,0,0,0,0,0,0
LitePal (Java),0,26,0,0,3,0,0,0,0,1,27,0,0,0,8,0,0,1,0,15,0,0,0,0,1,0,1,1,3,1,113,0,3,0,0,2,0,0,31,0,0,0,8,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133,0,0,0,23,0,0,0,101,0,0,26,86,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,107,0,0,1,0,0,0,65,0,0,0,0,3,1,15,0,0,0,0,12,0,0
junit5 (Java),0,46,0,5,39,0,0,0,0,93,481,0,15,0,44,0,0,9,7,1390,0,0,0,0,26,0,9,10,18,8,632,6,59,0,0,11,3,0,16,0,0,0,24,0,8,0,1,3,175,5,0,2,0,11,10,1,0,0,1,14,2,0,0,0,1142,0,0,0,153,0,0,0,92,0,1,137,686,0,26,0,1,1,0,3,43,0,0,0,4,0,0,73,0,1,31,0,3,3,0,0,1,513,1,0,0,0,276,10,92,1,0,30,0,4,0,3
ExoPlayer (Java),1,220,11,139,120,0,0,3,9,159,1221,0,4,3,208,9,0,35,0,705,0,6,0,0,69,0,87,16,43,47,2480,47,155,10,0,17,36,10,57,1,0,0,339,5,17,0,2,24,456,119,0,5,2,17,18,0,0,2,1,24,1,0,0,5,2108,0,12,2,535,0,0,0,254,0,10,192,1120,0,45,1,12,2,0,31,74,0,2,1,28,0,3,67,5,0,400,0,1,50,0,0,0,635,2,15,0,0,341,93,751,0,0,57,0,106,1,1
dubbo (Java),0,578,5,94,194,0,0,0,15,141,1486,0,21,1,212,1,0,19,0,801,0,1,0,0,110,0,25,16,76,41,1761,50,557,0,0,151,2,1,158,0,0,0,340,2,14,0,3,169,58,39,0,5,0,129,38,1,0,0,0,6,9,2,0,0,2542,0,4,7,1059,0,1,0,1061,0,7,895,2199,0,142,1,19,2,0,12,87,3,4,0,11,0,1,399,1,0,903,0,1,29,0,1,1,1378,3,2,0,0,421,42,228,0,1,57,2,57,1,14
JFoenix (Java),0,16,0,1,11,0,0,0,9,1,207,0,0,0,4,0,0,1,0,46,0,0,0,0,3,0,0,1,0,0,275,21,11,0,0,0,0,0,14,1,0,0,36,0,0,0,0,2,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,275,0,0,0,78,0,0,0,21,0,0,164,54,0,5,0,1,0,0,0,3,0,0,0,4,0,0,4,0,0,17,0,0,1,0,0,1,140,0,0,0,0,3,0,8,0,0,1,0,0,0,0
DSA-Bootcamp-Java (Java),0,5,0,3,2,0,0,0,0,4,62,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,4,3,0,39,0,43,1,0,2,0,1,4,0,0,0,16,1,5,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,29,0,1,0,28,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,13,0,3,1,0,0,0,22,0,0,0,0,5,11,0,0,0,0,0,2,0,0
react-native-push-notification (Java),0,3,0,1,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,4,0,0,0,8,0,0,1,6,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0
zuul (Java),0,10,0,14,12,0,0,0,0,10,193,0,0,0,30,0,0,2,0,55,0,0,0,1,2,0,7,8,2,4,185,8,24,0,0,1,2,1,25,0,0,0,50,0,0,0,0,0,5,14,0,1,0,5,2,0,0,1,0,2,0,0,0,0,278,0,0,1,104,0,0,0,98,0,1,65,260,0,9,0,3,0,0,3,5,0,0,0,0,0,0,48,0,0,49,0,0,0,0,0,0,118,0,0,0,0,33,7,35,1,0,5,0,3,0,0
spring-cloud-alibaba (Java),0,83,0,14,29,0,0,0,1,15,189,0,1,0,16,0,0,3,0,70,0,0,0,0,8,0,19,3,3,14,197,5,40,0,0,0,3,0,15,0,0,0,9,1,4,0,1,1,16,1,0,0,0,19,5,0,0,0,0,2,0,0,0,1,121,0,0,0,74,0,0,0,340,0,0,102,90,0,64,0,1,1,0,2,11,0,0,0,5,0,0,23,0,0,312,0,0,1,0,0,1,133,0,0,0,0,30,1,18,0,0,9,0,14,0,0
