,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
spring-security (Java),0,800,0,54,186,0,0,0,2,100,1485,0,1,0,146,1,0,7,13,925,0,0,0,0,142,0,10,6,14,244,3775,15,112,0,0,23,4,1,102,3,0,1,65,4,6,0,11,1,386,13,0,6,0,106,57,2,0,1,0,1,27,0,0,1,4329,0,1,1,228,0,0,0,391,0,1,505,1651,0,85,3,0,3,0,39,121,0,0,0,34,0,7,106,0,2,641,0,0,19,0,1,2,1261,16,2,0,0,134,12,454,0,2,27,0,11,0,2
Timber (Java),0,22,1,6,2,0,0,0,0,11,98,0,0,0,36,0,0,1,0,12,0,0,1,0,1,0,1,0,1,2,194,1,16,1,0,1,0,0,5,0,0,0,38,0,0,0,0,0,7,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,191,0,1,0,82,0,0,0,41,0,0,5,22,0,1,0,1,0,0,4,5,1,0,0,0,0,0,3,0,0,63,0,0,1,0,0,0,36,0,5,0,0,39,6,22,0,0,0,0,0,0,0
dex2jar (Java),0,10,0,12,39,0,0,0,0,9,190,0,0,1,29,0,0,0,0,40,0,0,0,1,6,0,2,7,1,6,125,10,38,1,0,2,16,5,23,0,0,0,3,0,1,0,0,2,7,3,0,3,0,13,9,0,0,7,0,0,0,0,1,0,274,0,12,0,78,0,0,0,29,0,0,16,85,0,4,1,1,1,0,2,8,0,0,0,4,0,0,21,0,0,28,0,0,0,0,0,0,83,2,1,0,0,22,5,46,0,0,2,0,22,0,1
greenDAO (Java),0,32,0,8,6,0,0,0,6,6,259,0,0,0,6,0,0,1,0,16,0,0,0,0,26,0,16,8,9,14,183,18,28,2,0,3,2,0,26,0,0,0,17,0,5,0,0,0,9,19,0,7,0,46,0,0,0,0,0,2,0,0,0,0,376,0,2,0,33,0,0,0,190,0,1,96,176,0,7,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,157,0,0,0,0,0,0,254,0,5,0,0,8,9,4,0,0,3,0,8,0,1
webmagic (Java),0,16,0,12,11,0,0,0,2,4,112,0,1,2,10,0,0,0,0,34,0,0,0,1,12,0,4,0,10,21,28,1,1,0,0,1,1,0,8,0,0,0,3,0,0,0,0,0,4,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,79,0,0,0,25,0,0,0,97,0,0,40,118,0,3,0,0,0,0,1,13,0,1,0,0,0,0,2,0,0,30,0,0,0,0,0,0,99,1,0,0,0,15,1,27,0,0,0,0,29,0,0
clojure (Java),0,6,1,29,34,0,0,0,3,43,198,0,1,0,48,1,0,7,0,50,0,0,0,0,13,0,19,14,7,19,138,12,40,0,0,13,5,1,4,0,0,0,34,0,5,0,1,7,6,55,0,4,0,0,2,8,0,1,0,0,0,0,2,1,163,0,6,0,98,0,1,0,55,0,1,66,6,0,2,3,5,2,0,0,23,0,0,0,1,0,0,136,0,0,6,0,0,15,0,6,9,392,27,0,0,0,13,18,26,0,0,3,0,17,2,1
AndResGuard (Java),0,4,0,2,5,0,0,0,1,3,57,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,1,0,2,2,94,0,0,0,0,2,0,0,2,0,0,0,5,0,0,0,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,38,0,0,0,9,0,0,11,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,1,0,0,0,0
AndroidAutoSize (Java),0,3,0,2,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,17,0,0,0,0,4,0,0,0,1,2,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,0,0,0,2,0,0,0,29,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,17,0,0
cryptomator (Java),0,2,0,2,10,0,0,0,0,20,178,0,0,0,25,0,0,3,0,24,0,0,0,0,0,0,0,7,0,0,266,5,5,0,0,0,2,0,10,0,0,0,98,0,2,0,0,0,5,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,241,0,0,0,99,0,0,0,20,0,0,203,79,0,3,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,9,0,1,1,0,0,3,145,0,0,0,0,12,1,10,0,0,1,0,0,0,0
xManager (Java),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,6,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,0,0
