Method Stereotype,Stereotype Count
get,135
predicate,77
property,245
void-accessor,48
set,133
command,450
non-void-command,214
collaborator,517
controller,98
wrapper,147
constructor,181
copy-constructor,2
destructor,0
factory,75
incidental,49
stateless,122
empty,20
unclassified,5
Total,2518
