Unique Class Stereotype,Class Count
entity boundary data-class,1
entity degenerate,1
data-provider boundary lazy-class degenerate,1
entity small-class,1
boundary,124
pure-controller small-class,2
entity,2
commander data-class,4
commander data-class small-class,5
boundary large-class degenerate,1
boundary small-class,93
data-provider data-class,6
degenerate small-class,40
commander boundary,20
boundary degenerate,29
data-provider,92
data-provider small-class,34
boundary lazy-class data-class small-class,1
entity boundary degenerate,9
boundary data-class,4
commander small-class,9
boundary data-class small-class,9
data-provider lazy-class small-class,3
empty,1609
commander boundary small-class,21
small-class,89
entity commander boundary,14
entity boundary small-class,45
pure-controller degenerate small-class,57
boundary degenerate small-class,74
entity minimal-entity boundary,9
data-provider boundary,142
unclassified,152
controller small-class,12
commander boundary data-class small-class,4
commander,44
entity boundary,129
data-class,7
factory degenerate small-class,3
entity data-provider boundary,52
pure-controller degenerate,7
entity data-provider boundary data-class small-class,1
lazy-class,1
controller degenerate,3
boundary lazy-class degenerate,1
lazy-class small-class,4
data-provider boundary data-class small-class,12
data-provider data-class small-class,7
boundary lazy-class small-class,1
data-provider boundary data-class,11
data-provider degenerate,7
commander boundary data-class,7
data-provider boundary lazy-class,1
data-provider boundary degenerate,3
minimal-entity boundary,4
data-class small-class,9
commander degenerate,1
factory controller small-class,12
factory pure-controller degenerate small-class,1
data-provider boundary small-class,51
controller,6
degenerate,27
controller lazy-class degenerate,1
controller data-class small-class,1
entity minimal-entity data-provider boundary,1
Total,3134
