Unique Method Stereotype,Method Count
property set factory collaborator,1
factory stateless,1
factory wrapper,3
get property set,1
get property factory collaborator,1
factory collaborator incidental,1
get property set collaborator,20
get property controller,2
get property non-void-command factory collaborator,2
predicate set collaborator,8
set factory,1
predicate set,8
factory wrapper stateless,23
property factory,12
set factory collaborator,1
collaborator,67
wrapper stateless,421
factory collaborator,5
controller,39
incidental,219
get property wrapper,28
property non-void-command collaborator,932
property controller,121
property command collaborator,12
void-accessor wrapper,72
predicate non-void-command,65
get predicate controller,1
predicate wrapper,36
get non-void-command,118
non-void-command collaborator,137
empty,182
set,418
constructor,1996
property wrapper,344
get non-void-command collaborator,142
get controller,7
get collaborator,688
property collaborator,1529
property non-void-command factory collaborator,32
property non-void-command,161
property,592
command collaborator,407
non-void-command factory collaborator,10
controller stateless,399
void-accessor set,11
set collaborator,334
non-void-command,23
get set collaborator,82
collaborator incidental,208
get,588
get property non-void-command collaborator,20
property set collaborator,65
destructor,715
predicate non-void-command collaborator,68
wrapper,198
non-void-command factory,1
get predicate non-void-command,1
get set,89
unclassified,100
property factory wrapper,9
command,779
copy-constructor,262
void-accessor collaborator,185
void-accessor command collaborator,783
predicate,308
predicate controller,19
get wrapper,37
property factory controller,20
void-accessor controller,39
get set factory collaborator,6
property factory collaborator,88
void-accessor,49
predicate collaborator,80
factory collaborator stateless,3
get predicate collaborator,1
property set,17
void-accessor set collaborator,67
get property collaborator,27
get property non-void-command,6
void-accessor command,119
factory controller stateless,29
get property,11
Total,14712
