Unique Method Stereotype,Method Count
get controller,2
get non-void-command factory collaborator,3
property command factory collaborator,1
property set,1
void-accessor set,9
get wrapper,8
unclassified,3
property command collaborator,2
get set collaborator,2
predicate set collaborator,5
predicate controller,1
void-accessor controller,6
property factory wrapper,1
predicate non-void-command,35
predicate collaborator,12
destructor,97
property set collaborator,20
wrapper,79
void-accessor command,53
command collaborator,154
empty,27
command,170
controller,9
predicate non-void-command collaborator,50
incidental,43
copy-constructor,15
get property wrapper,1
get non-void-command,10
void-accessor set collaborator,10
get predicate,1
predicate,60
predicate set,1
property non-void-command factory collaborator,1
property non-void-command,7
property collaborator,139
void-accessor collaborator,9
void-accessor,2
void-accessor command collaborator,179
controller stateless,40
void-accessor wrapper,13
wrapper stateless,59
get property controller,2
constructor,316
get property collaborator,5
set,63
get,102
collaborator incidental,21
get property non-void-command collaborator,5
get collaborator,125
collaborator,8
property controller,12
property non-void-command collaborator,171
set collaborator,72
property,63
predicate wrapper,6
non-void-command collaborator,52
get non-void-command collaborator,14
property wrapper,93
Total,2470
