Unique Class Stereotype,Class Count
entity boundary,1
small-class,2
degenerate,2
boundary lazy-class data-class,1
data-provider boundary,2
controller small-class,1
boundary,3
commander,9
data-provider boundary small-class,1
commander small-class,2
commander boundary,9
pure-controller degenerate small-class,1
lazy-class data-class,1
data-provider,1
lazy-class data-class small-class,2
boundary degenerate small-class,14
entity commander boundary,1
degenerate small-class,11
empty,48
unclassified,4
Total,116
