Unique Method Stereotype,Method Count
predicate controller,1
property,5
property non-void-command factory collaborator,4
property non-void-command,10
incidental,19
controller,12
factory controller stateless,1
get predicate non-void-command collaborator,1
wrapper,40
predicate,5
get,5
wrapper stateless,19
set collaborator,24
factory wrapper stateless,2
command collaborator,165
factory controller,3
empty,94
command,118
set,28
constructor,52
predicate non-void-command,11
property non-void-command collaborator,46
predicate wrapper,12
non-void-command factory collaborator,7
property controller,12
controller stateless,52
predicate non-void-command collaborator,14
Total,762
