Unique Class Stereotype,Class Count
commander lazy-class small-class,1
data-provider boundary lazy-class,1
entity boundary data-class,1
commander data-class,1
controller data-class small-class,3
lazy-class,1
minimal-entity commander boundary,1
data-provider boundary data-class,2
controller degenerate,1
boundary lazy-class degenerate,5
boundary degenerate,9
entity data-provider boundary,15
controller,7
lazy-class small-class,1
boundary data-class,8
minimal-entity boundary,1
entity boundary degenerate,1
commander boundary data-class small-class,2
commander small-class,25
lazy-class degenerate,3
commander boundary small-class,47
pure-controller degenerate,7
data-provider boundary data-class small-class,16
data-provider boundary,30
data-provider lazy-class degenerate,1
boundary data-class small-class,2
boundary degenerate small-class,21
entity minimal-entity commander boundary,1
commander boundary,76
entity minimal-entity boundary,4
data-class small-class,2
entity boundary,70
factory degenerate,1
boundary small-class,3
commander data-class small-class,9
data-provider data-class,3
data-provider,17
controller small-class,2
unclassified,129
small-class,39
entity boundary lazy-class degenerate,1
entity boundary small-class,16
data-class,7
entity commander boundary,35
pure-controller degenerate small-class,67
empty,250
commander,50
data-provider data-class small-class,12
commander lazy-class,2
data-provider boundary small-class,19
data-provider small-class,13
boundary lazy-class,3
degenerate small-class,19
boundary,102
degenerate,47
pure-controller small-class,6
commander boundary degenerate,3
Total,1221
