Unique Method Stereotype,Method Count
get property set collaborator,1
property factory,1
predicate set collaborator,12
get property,11
get predicate collaborator,1
property set,2
controller,97
incidental,200
get property non-void-command collaborator,5
get,309
collaborator incidental,138
property non-void-command collaborator,355
property controller,49
non-void-command,1
set collaborator,275
predicate controller,39
empty,226
get property controller,3
factory controller,1
command,746
factory wrapper stateless,4
destructor,293
void-accessor command collaborator,736
predicate collaborator,53
void-accessor,7
copy-constructor,56
void-accessor collaborator,22
property collaborator,474
property non-void-command,39
predicate set,4
property non-void-command factory collaborator,10
property wrapper,85
get non-void-command collaborator,22
set,274
get controller,3
get collaborator,568
constructor,917
get set factory collaborator,2
property factory controller,6
void-accessor controller,39
get property collaborator,20
void-accessor set collaborator,56
non-void-command collaborator,1
get non-void-command,11
get property wrapper,3
predicate,252
command collaborator,992
property,270
wrapper stateless,287
predicate non-void-command,41
void-accessor wrapper,14
get set factory,1
factory collaborator stateless,14
unclassified,4
non-void-command factory collaborator,11
controller stateless,531
predicate non-void-command collaborator,236
wrapper,33
non-void-command factory,1
get set,15
collaborator,10
get wrapper,13
get predicate wrapper,1
void-accessor set,16
get predicate controller,1
predicate wrapper,31
void-accessor command,105
factory controller stateless,7
property set collaborator,8
property factory collaborator,16
get set collaborator,9
factory collaborator incidental,158
property command collaborator,2
Total,9256
