Free Function Name,Free Function Stereotype
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"centerCropOf","literal wrapper"
"test","property global-command wrapper"
"sizeMultiplierOf","global-command literal wrapper"
"diskCacheStrategyOf","literal wrapper"
"priorityOf","literal wrapper"
"placeholderOf","literal wrapper"
"placeholderOf","literal wrapper"
"errorOf","literal wrapper"
"errorOf","literal wrapper"
"skipMemoryCacheOf","literal wrapper"
"overrideOf","literal wrapper"
"overrideOf","literal wrapper"
"signatureOf","literal wrapper"
"fitCenterTransform","global-command literal wrapper"
"centerInsideTransform","global-command literal wrapper"
"centerCropTransform","global-command literal wrapper"
"circleCropTransform","global-command literal wrapper"
"bitmapTransform","literal wrapper"
"noTransformation","global-command literal wrapper"
"option","literal wrapper"
"decodeTypeOf","literal wrapper"
"formatOf","literal wrapper"
"frameOf","global-command literal wrapper"
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"test","property global-command wrapper"
"sizeMultiplierOf","global-command literal wrapper"
"diskCacheStrategyOf","literal wrapper"
"priorityOf","literal wrapper"
"placeholderOf","literal wrapper"
"placeholderOf","literal wrapper"
"errorOf","literal wrapper"
"errorOf","literal wrapper"
"skipMemoryCacheOf","literal wrapper"
"overrideOf","literal wrapper"
"overrideOf","literal wrapper"
"signatureOf","literal wrapper"
"fitCenterTransform","global-command literal wrapper"
"centerInsideTransform","global-command literal wrapper"
"centerCropTransform","global-command literal wrapper"
"circleCropTransform","global-command literal wrapper"
"bitmapTransform","literal wrapper"
"noTransformation","global-command literal wrapper"
"option","literal wrapper"
"decodeTypeOf","literal wrapper"
"formatOf","literal wrapper"
"frameOf","global-command literal wrapper"
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"testSomething","literal wrapper"
"squareThumb","property wrapper"
"sizeMultiplierOf","global-command literal wrapper"
"diskCacheStrategyOf","literal wrapper"
"priorityOf","literal wrapper"
"placeholderOf","literal wrapper"
"placeholderOf","literal wrapper"
"errorOf","literal wrapper"
"errorOf","literal wrapper"
"skipMemoryCacheOf","literal wrapper"
"overrideOf","literal wrapper"
"overrideOf","literal wrapper"
"signatureOf","literal wrapper"
"fitCenterTransform","global-command literal wrapper"
"centerInsideTransform","global-command literal wrapper"
"centerCropTransform","global-command literal wrapper"
"circleCropTransform","global-command literal wrapper"
"bitmapTransform","literal wrapper"
"noTransformation","global-command literal wrapper"
"option","literal wrapper"
"decodeTypeOf","literal wrapper"
"formatOf","literal wrapper"
"frameOf","global-command literal wrapper"
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"squareThumbOf","literal wrapper"
"asNumber","unclassified"
"sizeMultiplierOf","global-command literal wrapper"
"diskCacheStrategyOf","literal wrapper"
"priorityOf","literal wrapper"
"placeholderOf","literal wrapper"
"placeholderOf","literal wrapper"
"errorOf","literal wrapper"
"errorOf","literal wrapper"
"skipMemoryCacheOf","literal wrapper"
"overrideOf","literal wrapper"
"overrideOf","literal wrapper"
"signatureOf","literal wrapper"
"fitCenterTransform","global-command literal wrapper"
"centerInsideTransform","global-command literal wrapper"
"centerCropTransform","global-command literal wrapper"
"circleCropTransform","global-command literal wrapper"
"bitmapTransform","literal wrapper"
"noTransformation","global-command literal wrapper"
"option","literal wrapper"
"decodeTypeOf","literal wrapper"
"formatOf","literal wrapper"
"frameOf","global-command literal wrapper"
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"drawableToBitmap","property wrapper"
"newResourceNameUri","property wrapper"
"newResourceIdUri","literal wrapper"
"newResourceUriBuilder","property wrapper"
"runFragmentTest","wrapper"
"newFixedSizeImageView","literal wrapper"
"runActivityTest","wrapper"
"assertImageViewContainerChildHasContent","wrapper"
"findImageView","literal wrapper"
"findContainer","property wrapper"
"deleteRecursively","wrapper"
"assetNameToUri","property"
"asJpeg","literal wrapper"
"asPng","literal wrapper"
"asWebp","literal wrapper"
"toByteArray","property wrapper"
"newGlideRule","literal"
"newIdlingThreadPoolExecutor","literal"
"runScaleTest","property wrapper"
"readableDimens","property"
"readableDimensAndHasGainmap","property"
"buildDownsampler","literal wrapper"
"openBitmapStream","property wrapper"
"openFileStream","property wrapper"
"openInMemoryStream","property wrapper"
"apis","literal wrapper"
"atAndAbove","literal wrapper"
"below","literal wrapper"
"allApis","literal"
"onAllApisAndAllFormatsExpect","literal wrapper"
"allFormats","literal wrapper"
"formats","literal"
"newInstance","literal"
"getResourceId","literal wrapper"
"forceLightMode","literal wrapper"
"forceDarkMode","literal wrapper"
"newArgs","literal wrapper"
"preload","literal wrapper"
"submitAndExecute","property wrapper"
"submit","literal wrapper"
"transformFromTargetAndResult","literal wrapper"
"submitInternal","property wrapper"
"builder","literal"
"bufferSizeHeuristic","property wrapper"
"getExceptionIfFailed","property wrapper"
"getSingleton","global-command literal wrapper"
"createEngine","literal wrapper"
"anyHeaders","literal wrapper"
"anyContext","literal wrapper"
"anyBitmapOrNull","literal wrapper"
"getInternalClient","global-command literal"
"getInternalClient","global-command literal"
"getInternalClient","global-command literal"
"forProd","literal"
"forTesting","literal"
"newInstance","literal wrapper"
"newInstance","literal wrapper"
"buildKeySelectionSet","property wrapper"
"getSqlCreateStatement","literal"
"getIndexString","literal"
"getBackgroundLooper","literal wrapper"
"getLogTime","literal wrapper"
"getElapsedTime","property wrapper"
"getSqlCreateStatement","literal"
"writeToFile","wrapper"
"writeToFile","literal wrapper"
"readFromFile","property wrapper"
"deleteRecursively","wrapper"
"onIdleWorkerThread","literal wrapper"
"getSize","property wrapper"
"readFromFile","literal wrapper"
"glideToVolleyPriority","property"
"getInternalQueue","global-command literal wrapper"
"elapsedRealtime","literal wrapper"
"withNoTransition","literal wrapper"
"with","literal wrapper"
"with","literal wrapper"
"with","literal wrapper"
"getPhotoCacheDir","literal wrapper"
"getPhotoCacheDir","property wrapper"
"get","property wrapper"
"checkAndInitializeGlide","global-command literal wrapper"
"init","command"
"init","literal wrapper"
"isInitialized","literal"
"enableHardwareBitmaps","literal wrapper"
"tearDown","global-command literal wrapper"
"initializeGlide","literal wrapper"
"initializeGlide","wrapper"
"getAnnotationGeneratedGlideModules","property wrapper"
"throwIncorrectGlideModule","literal"
"getRetriever","literal wrapper"
"with","literal wrapper"
"with","property wrapper"
"with","literal wrapper"
"with","property wrapper"
"with","property wrapper"
"with","property wrapper"
"lazilyCreateAndInitializeRegistry","literal wrapper"
"createAndInitRegistry","property wrapper"
"initializeDefaults","wrapper"
"initializeModules","wrapper"
"getType","property wrapper"
"getType","property wrapper"
"getType","property wrapper"
"getTypeInternal","property wrapper"
"getOrientation","property wrapper"
"getOrientation","property wrapper"
"getOrientation","property wrapper"
"getOrientationInternal","property wrapper"
"memory","literal wrapper"
"memory","literal wrapper"
"disk","literal"
"disk","literal"
"emptyUpdater","literal"
"updateDiskCacheKey","wrapper"
"getHttpStatusCodeOrInvalid","property wrapper"
"isHttpOk","predicate"
"isHttpRedirect","predicate"
"isSupported","literal wrapper"
"isMediaStoreUri","predicate wrapper"
"isAndroidPickerUri","predicate wrapper"
"isVideoUri","predicate wrapper"
"isMediaStoreVideoUri","literal wrapper"
"isMediaStoreImageUri","literal wrapper"
"isThumbnailSize","predicate"
"buildImageFetcher","property wrapper"
"buildVideoFetcher","property wrapper"
"build","property wrapper"
"logWithTimeAndKey","literal wrapper"
"defaultCallbackAndExecutor","literal wrapper"
"appendExceptionMessage","wrapper"
"appendCauses","literal wrapper"
"appendCausesWrapped","wrapper"
"obtain","literal wrapper"
"getBitmapString","property wrapper"
"getBitmapString","property"
"updateEntry","command"
"removeEntry","command"
"createBitmap","literal wrapper"
"assertNotHardwareConfig","unclassified"
"normalize","wrapper"
"maybeSetPreMultiplied","wrapper"
"getDefaultStrategy","literal"
"getDefaultAllowedConfigs","literal wrapper"
"getBitmapString","property"
"getInConfigs","property wrapper"
"getBitmapString","literal wrapper"
"getBitmapString","property"
"get","global-command literal"
"create","literal"
"getMaxSize","property wrapper"
"isLowMemoryDevice","predicate wrapper"
"newDiskCacheBuilder","literal wrapper"
"newDiskCacheExecutor","literal wrapper"
"newDiskCacheExecutor","literal wrapper"
"newDiskCacheExecutor","literal wrapper"
"newSourceBuilder","literal wrapper"
"newSourceExecutor","literal wrapper"
"newSourceExecutor","literal wrapper"
"newSourceExecutor","literal wrapper"
"newUnlimitedSourceExecutor","literal"
"newAnimationBuilder","literal wrapper"
"calculateAnimationExecutorThreadCount","literal wrapper"
"newAnimationExecutor","literal wrapper"
"newAnimationExecutor","literal wrapper"
"calculateBestThreadCount","global-command literal wrapper"
"availableProcessors","literal wrapper"
"getCoreCountPre17","literal wrapper"
"getSizeInBytes","property wrapper"
"inputStreamFactory","literal"
"assetFileDescriptorFactory","literal"
"drawableFactory","literal"
"getSanitizedUserAgent","literal wrapper"
"get","literal wrapper"
"getClass","property wrapper"
"emptyModelLoader","literal"
"newStreamFactory","literal"
"newAssetFileDescriptorFactory","literal"
"parseUri","property wrapper"
"toFileUri","literal wrapper"
"getInstance","literal"
"getInstance","literal"
"getAlternateKeys","property wrapper"
"get","literal"
"convertToBitmapDrawableResource","property wrapper"
"convertToDrawableResource","property"
"obtain","property"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"withWrapped","literal wrapper"
"with","literal wrapper"
"parseExifSegment","property wrapper"
"calcTagOffset","property"
"handles","predicate"
"calculateScaling","command"
