Unique Method Stereotype,Method Count
get non-void-command,2
void-accessor controller,1
predicate set collaborator,1
factory wrapper stateless,1
predicate collaborator,2
property command collaborator,1
void-accessor command,1
property set,4
unclassified,4
destructor,51
property set collaborator,15
get set,6
wrapper,23
wrapper stateless,66
set,22
constructor,104
predicate non-void-command,30
predicate wrapper,9
property non-void-command factory collaborator,1
predicate set,1
property collaborator,39
property non-void-command,55
empty,13
command,112
command collaborator,103
property,20
property wrapper,15
predicate,21
get predicate non-void-command,1
get property set,1
get predicate non-void-command collaborator,1
get property non-void-command collaborator,2
get,27
collaborator incidental,4
copy-constructor,6
controller,3
predicate non-void-command collaborator,13
incidental,47
get collaborator,17
controller stateless,15
property non-void-command collaborator,71
set collaborator,7
property controller,8
get property non-void-command,1
Total,947
