Unique Class Stereotype,Class Count
data-provider boundary degenerate,1
commander lazy-class degenerate,1
commander degenerate,2
data-provider degenerate,1
minimal-entity boundary,1
commander boundary degenerate,1
data-provider data-class small-class,3
data-provider boundary,6
boundary degenerate,3
boundary data-class small-class,6
entity boundary small-class,50
small-class,41
data-provider small-class,7
data-provider,9
commander boundary,40
controller,5
commander lazy-class small-class,1
commander boundary small-class,65
entity small-class,1
empty,188
commander,55
factory controller data-class small-class,1
data-provider boundary small-class,1
pure-controller degenerate small-class,7
entity commander boundary,8
boundary degenerate small-class,9
lazy-class degenerate,3
data-provider boundary lazy-class small-class,1
factory controller small-class,5
unclassified,99
controller small-class,3
degenerate small-class,14
pure-controller small-class,16
boundary,75
degenerate,14
entity boundary,48
data-class small-class,4
commander small-class,45
commander boundary data-class small-class,2
entity data-provider boundary,1
boundary small-class,2
commander data-class small-class,2
commander boundary lazy-class,1
Total,848
