Unique Class Stereotype,Class Count
entity data-provider boundary,1
degenerate small-class,2
data-provider,2
boundary data-class small-class,3
data-provider boundary lazy-class,1
pure-controller,2
boundary degenerate small-class,11
pure-controller degenerate small-class,10
entity commander boundary,2
boundary degenerate,12
commander boundary,4
controller,1
boundary small-class,4
data-provider boundary data-class small-class,2
small-class,8
entity boundary small-class,10
unclassified,17
commander boundary small-class,1
commander degenerate,2
empty,37
commander,5
pure-controller small-class,4
degenerate,7
boundary,25
pure-controller degenerate,1
entity boundary,8
factory degenerate small-class,1
data-provider boundary lazy-class small-class,1
factory controller small-class,1
data-provider data-class small-class,1
commander boundary degenerate,2
boundary lazy-class degenerate,1
entity,1
entity minimal-entity boundary,1
Total,191
