Method Stereotype,Stereotype Count
get,220
predicate,136
property,571
void-accessor,45
set,504
command,3074
non-void-command,635
collaborator,3245
controller,760
wrapper,536
constructor,537
copy-constructor,44
destructor,0
factory,138
incidental,183
stateless,1011
empty,88
unclassified,1
Total,11728
