Unique Method Stereotype,Method Count
predicate,3
get set collaborator,2
predicate collaborator,3
factory stateless,1
collaborator stateless,1
factory collaborator stateless,12
get property non-void-command factory collaborator,1
unclassified,3
empty,385
property factory collaborator,11
get wrapper,14
collaborator,1
property,156
void-accessor controller,4
factory collaborator incidental,1
property set,3
void-accessor collaborator,3
void-accessor command collaborator,114
get set,9
wrapper,7
destructor,333
stateless,4
property set collaborator,23
void-accessor command,44
controller stateless,89
property factory,2
predicate non-void-command,7
get non-void-command,7
void-accessor set collaborator,5
get property wrapper,3
non-void-command collaborator,2
predicate wrapper,2
void-accessor wrapper,29
wrapper stateless,325
set,41
constructor,768
command collaborator,10
get non-void-command collaborator,2
property wrapper,46
copy-constructor,34
predicate non-void-command collaborator,20
incidental,548
get collaborator,85
property controller,9
property non-void-command collaborator,525
set collaborator,43
non-void-command,2
void-accessor set,5
command,50
predicate set,1
property collaborator,40
property non-void-command,69
property non-void-command factory collaborator,3
get,107
collaborator incidental,282
get property non-void-command collaborator,2
Total,4301
