Class Stereotype,Stereotype Count
entity,117
minimal-entity,3
data-provider,219
commander,273
boundary,693
factory,1
controller,42
pure-controller,64
large-class,0
lazy-class,46
degenerate,221
data-class,81
small-class,288
empty,1120
unclassified,182
Total,3350
