Unique Method Stereotype,Method Count
set factory collaborator,1
get property,3
property factory wrapper,1
get predicate collaborator,1
property set collaborator,8
property set,1
predicate non-void-command,24
get set collaborator,5
void-accessor command,36
collaborator,15
get set,5
wrapper,118
void-accessor controller,49
unclassified,6
factory controller stateless,1
get controller,1
void-accessor set,6
empty,78
predicate collaborator,40
non-void-command collaborator,5
predicate wrapper,22
get non-void-command collaborator,15
property wrapper,130
predicate set,6
property collaborator,357
property non-void-command,31
predicate,125
get property wrapper,1
get non-void-command,5
void-accessor set collaborator,18
command collaborator,407
set collaborator,84
property non-void-command collaborator,159
property controller,64
controller stateless,207
property,183
predicate set collaborator,8
command,402
constructor,320
get property collaborator,8
set,122
get wrapper,10
non-void-command factory collaborator,1
predicate controller,16
void-accessor wrapper,59
wrapper stateless,231
get collaborator,122
destructor,64
get property set collaborator,2
collaborator incidental,33
get,92
get property non-void-command collaborator,4
void-accessor,4
void-accessor command collaborator,298
void-accessor collaborator,13
copy-constructor,10
incidental,44
predicate non-void-command collaborator,65
controller,130
Total,4276
