Unique Class Stereotype,Class Count
controller degenerate,1
boundary degenerate,2
commander degenerate,3
data-provider boundary,1
commander boundary,1
entity,1
data-provider boundary small-class,1
boundary data-class small-class,2
data-provider data-class small-class,2
degenerate small-class,80
commander boundary small-class,2
pure-controller degenerate,4
boundary degenerate small-class,37
pure-controller small-class,1
boundary,4
degenerate,26
entity boundary small-class,42
small-class,90
commander,11
empty,30
entity small-class,6
data-provider,2
unclassified,68
controller small-class,4
entity boundary,27
data-class small-class,3
controller lazy-class small-class,1
commander small-class,12
entity boundary degenerate,7
data-provider boundary lazy-class small-class,1
factory controller small-class,2
factory degenerate small-class,5
boundary small-class,1
commander data-class small-class,1
factory pure-controller small-class,1
entity commander boundary,2
pure-controller degenerate small-class,96
entity boundary data-class small-class,1
factory pure-controller degenerate small-class,4
controller,1
data-provider small-class,4
Total,590
