Unique Class Stereotype,Class Count
commander boundary data-class,1
pure-controller degenerate small-class,1
data-provider boundary data-class,1
controller degenerate,1
entity boundary,2
commander degenerate,1
data-provider small-class,3
small-class,3
empty,23
unclassified,4
degenerate,16
commander,3
data-provider degenerate,2
data-provider,4
entity minimal-entity boundary,1
boundary,4
lazy-class,2
commander lazy-class degenerate,2
boundary degenerate small-class,1
degenerate small-class,2
Total,77
