Unique Method Stereotype,Method Count
predicate controller,1
controller,2
factory collaborator stateless,1
get property non-void-command,2
get property set collaborator,2
get,6
property non-void-command factory collaborator,3
collaborator incidental,2
wrapper stateless,24
set,2
constructor,69
set factory collaborator,1
empty,8
command,11
property controller,1
controller stateless,10
incidental,5
get collaborator,26
set collaborator,2
non-void-command factory collaborator,1
predicate wrapper,2
predicate non-void-command,6
property non-void-command collaborator,67
copy-constructor,1
property non-void-command,29
predicate set collaborator,2
property,3
command collaborator,49
predicate non-void-command collaborator,24
Total,362
