Unique Method Stereotype,Method Count
void-accessor command,2
predicate controller,1
wrapper stateless,5
predicate set collaborator,1
set collaborator,31
predicate set,2
command collaborator,23
void-accessor command collaborator,2
collaborator incidental,2
property wrapper,1
predicate non-void-command collaborator,4
incidental,1
get collaborator,2
get,11
command,19
destructor,2
constructor,8
set,18
property non-void-command,4
property non-void-command collaborator,14
predicate non-void-command,19
controller stateless,7
property controller,2
Total,181
