Unique Method Stereotype,Method Count
set factory collaborator,2
unclassified,3
get property factory wrapper,1
get wrapper,3
predicate collaborator,3
get property set,1
get property wrapper,2
property set factory collaborator,2
get property set collaborator,1
get predicate non-void-command collaborator,3
get property,3
non-void-command,1
set collaborator,219
property non-void-command collaborator,705
property controller,29
property non-void-command,518
property non-void-command factory collaborator,123
predicate,56
get property non-void-command collaborator,17
get,634
collaborator incidental,131
factory collaborator,1
controller,65
incidental,139
copy-constructor,20
wrapper stateless,114
property factory,4
predicate non-void-command,146
property wrapper,87
get non-void-command collaborator,15
factory,1
get controller,4
get collaborator,570
predicate non-void-command collaborator,244
wrapper,18
get non-void-command,41
factory collaborator stateless,9
property set,13
set,366
constructor,653
property factory wrapper,8
command,1158
factory wrapper stateless,10
command collaborator,836
property,96
property factory collaborator,17
controller stateless,244
non-void-command factory collaborator,107
get property non-void-command factory,2
predicate controller,24
property collaborator,10
stateless,7
property set collaborator,5
empty,74
get property controller,2
factory controller,13
void-accessor controller,1
get set factory collaborator,3
property factory controller,3
void-accessor set collaborator,4
get property non-void-command,9
get property factory,1
get non-void-command factory collaborator,2
get set collaborator,1
get property non-void-command factory collaborator,5
void-accessor command collaborator,14
factory controller stateless,44
void-accessor command,9
predicate wrapper,9
get predicate non-void-command,1
get set,15
non-void-command factory,1
get factory collaborator,1
predicate set collaborator,2
collaborator stateless,25
property non-void-command factory,2
factory stateless,1
void-accessor set,2
Total,7735
