Unique Method Stereotype,Method Count
get property factory controller,2
get command collaborator,1
factory wrapper stateless,3
property wrapper,115
get non-void-command collaborator,10
get set collaborator,6
predicate,95
property non-void-command,5
property collaborator,280
predicate set,6
property non-void-command factory collaborator,4
incidental,82
property,98
command collaborator,754
collaborator incidental,95
get,153
collaborator,201
property non-void-command collaborator,96
property controller,67
set collaborator,166
get collaborator,351
get controller,7
predicate non-void-command collaborator,76
wrapper,38
destructor,79
constructor,277
set,129
wrapper stateless,146
predicate non-void-command,43
void-accessor wrapper,4
property factory wrapper,1
command,246
unclassified,29
controller,198
factory collaborator,14
get property collaborator,4
get property non-void-command,1
get property,5
void-accessor command collaborator,30
predicate collaborator,63
void-accessor,3
copy-constructor,65
void-accessor collaborator,33
get set,5
get predicate non-void-command,2
factory controller stateless,4
void-accessor command,5
empty,83
get property controller,2
factory controller,6
predicate controller,32
controller stateless,135
non-void-command factory collaborator,5
get wrapper,22
property factory collaborator,23
property command collaborator,4
property set collaborator,5
predicate wrapper,13
get non-void-command,6
non-void-command collaborator,42
predicate set collaborator,3
void-accessor controller,13
property factory controller,1
Total,4492
