Class Stereotype,Stereotype Count
entity,341
minimal-entity,2
data-provider,110
commander,202
boundary,659
factory,119
controller,162
pure-controller,140
large-class,0
lazy-class,8
degenerate,425
data-class,32
small-class,756
empty,1263
unclassified,144
Total,4363
