Unique Class Stereotype,Class Count
data-provider boundary degenerate,1
minimal-entity boundary,1
degenerate small-class,1
commander boundary small-class,1
data-provider boundary data-class small-class,1
pure-controller degenerate,2
controller lazy-class degenerate,1
data-provider boundary,13
boundary small-class,4
data-provider data-class,10
data-provider,14
data-provider data-class small-class,2
controller,1
commander boundary,4
data-class,1
small-class,35
entity boundary small-class,10
commander small-class,19
boundary degenerate small-class,3
pure-controller degenerate small-class,14
entity commander boundary,4
controller small-class,5
unclassified,19
entity data-provider boundary data-class,1
entity boundary,2
lazy-class small-class,1
entity data-provider boundary,1
data-provider boundary small-class,4
empty,55
commander,5
boundary data-class small-class,1
boundary,5
pure-controller small-class,4
degenerate,1
Total,246
