Unique Method Stereotype,Method Count
get set collaborator,15
predicate controller,8
property,11
wrapper,5
get set,52
get non-void-command,39
predicate,8
controller,19
property controller,1
controller stateless,2
get non-void-command collaborator,1
command collaborator,105
empty,26
command,109
predicate wrapper,1
property non-void-command collaborator,17
predicate non-void-command,19
non-void-command factory collaborator,2
property wrapper,6
predicate non-void-command collaborator,17
copy-constructor,17
property non-void-command,41
set collaborator,32
wrapper stateless,5
constructor,99
set,23
incidental,1
get collaborator,54
get,102
Total,837
