Unique Class Stereotype,Class Count
pure-controller degenerate,1
lazy-class,1
entity data-provider boundary,2
commander boundary degenerate,2
data-provider boundary data-class small-class,4
data-provider small-class,5
data-provider,1
entity factory controller data-class small-class,1
controller degenerate,2
boundary lazy-class degenerate,1
commander lazy-class,1
boundary lazy-class small-class,1
data-provider data-class small-class,1
commander boundary lazy-class degenerate,1
commander boundary small-class,32
degenerate small-class,14
data-class small-class,1
entity boundary,49
lazy-class small-class,1
commander boundary lazy-class,1
boundary data-class small-class,12
entity boundary small-class,34
small-class,12
boundary degenerate small-class,28
commander lazy-class small-class,2
commander boundary,47
boundary degenerate,5
entity commander boundary,23
pure-controller degenerate small-class,5
entity data-provider boundary small-class,1
controller small-class,2
unclassified,17
factory controller small-class,3
factory degenerate small-class,3
entity factory controller small-class,3
controller,3
factory pure-controller degenerate small-class,4
entity small-class,1
empty,463
commander,22
factory controller data-class small-class,1
data-provider boundary small-class,27
entity boundary degenerate,1
commander boundary data-class small-class,2
commander small-class,9
pure-controller small-class,1
boundary,29
degenerate,7
data-provider boundary,8
boundary small-class,24
commander data-class small-class,5
Total,926
