Unique Method Stereotype,Method Count
property factory collaborator,1
collaborator stateless,63
factory controller stateless,1
get controller,2
predicate,1
collaborator,1
property non-void-command factory collaborator,10
property non-void-command,3
get property wrapper,3
wrapper,23
stateless,14
property set collaborator,2
factory wrapper stateless,1
predicate collaborator,3
incidental,6
copy-constructor,10
controller,13
predicate non-void-command collaborator,14
property wrapper,5
set,9
constructor,72
wrapper stateless,277
controller stateless,143
empty,114
command,44
command collaborator,64
predicate wrapper,4
non-void-command collaborator,1
property controller,1
property non-void-command collaborator,31
set collaborator,6
get collaborator,1
get property factory collaborator,1
get property non-void-command factory collaborator,1
get property non-void-command collaborator,3
collaborator incidental,3
void-accessor collaborator,1
void-accessor command collaborator,11
void-accessor controller,2
get wrapper,12
Total,977
