Unique Method Stereotype,Method Count
property set,1
predicate set collaborator,4
get property,1
unclassified,6
property command collaborator,2
get wrapper,5
property,4
void-accessor controller,2
get predicate collaborator,1
wrapper,9
get set,12
void-accessor command,5
get command,3
get collaborator,139
set,11
get property collaborator,14
controller stateless,160
destructor,29
property set collaborator,19
predicate collaborator,26
get property wrapper,1
void-accessor set collaborator,3
get non-void-command,29
predicate non-void-command,14
predicate wrapper,14
empty,7
command,43
command collaborator,83
wrapper stateless,104
collaborator,11
constructor,351
void-accessor collaborator,6
void-accessor command collaborator,93
predicate set,10
property non-void-command factory collaborator,5
property collaborator,125
property controller,27
property non-void-command collaborator,284
set collaborator,51
get command collaborator,2
get,15
collaborator incidental,51
get property non-void-command collaborator,2
get predicate,2
predicate,67
get non-void-command collaborator,17
property wrapper,38
get set collaborator,23
non-void-command factory collaborator,1
predicate controller,3
predicate non-void-command collaborator,29
incidental,9
controller,27
copy-constructor,38
Total,2038
