Unique Class Stereotype,Class Count
boundary data-class small-class,1
data-class small-class,1
commander boundary small-class,2
boundary,2
pure-controller degenerate small-class,1
data-provider data-class small-class,2
unclassified,8
empty,67
data-provider boundary small-class,3
commander,12
boundary small-class,1
data-provider boundary,1
commander small-class,8
boundary degenerate,1
commander boundary,10
entity commander boundary,1
boundary degenerate small-class,1
entity boundary,3
lazy-class small-class,6
degenerate small-class,1
small-class,11
entity boundary small-class,5
Total,148
