Unique Method Stereotype,Method Count
get wrapper,1
collaborator,2
factory wrapper stateless,1
get set collaborator,1
factory collaborator stateless,3
collaborator stateless,4
get property,1
void-accessor controller,2
predicate controller,6
non-void-command factory collaborator,3
non-void-command collaborator,1
predicate wrapper,6
void-accessor set,1
unclassified,1
get predicate non-void-command collaborator,1
get property set,2
get collaborator,2
destructor,4
predicate,10
wrapper stateless,889
get set,4
wrapper,12
stateless,1
property set collaborator,3
void-accessor set collaborator,3
get property wrapper,2
get non-void-command,15
controller stateless,1696
property,17
set,32
get property controller,2
constructor,194
property set,17
predicate non-void-command,141
command,75
get property non-void-command,9
void-accessor command collaborator,43
property collaborator,3
predicate set,8
property non-void-command,790
property non-void-command factory collaborator,22
property controller,90
property non-void-command collaborator,552
set collaborator,9
factory controller stateless,10
void-accessor command,84
command collaborator,52
property wrapper,33
get non-void-command collaborator,8
copy-constructor,2
predicate non-void-command collaborator,69
incidental,236
controller,10
get,20
get property non-void-command collaborator,5
collaborator incidental,157
get command collaborator,3
Total,5370
