Class Stereotype,Stereotype Count
entity,290
minimal-entity,6
data-provider,35
commander,450
boundary,709
factory,42
controller,43
pure-controller,103
large-class,0
lazy-class,15
degenerate,319
data-class,38
small-class,662
empty,1035
unclassified,29
Total,3776
