Unique Class Stereotype,Class Count
commander data-class,1
commander boundary degenerate,1
commander boundary data-class,1
boundary,40
degenerate,25
pure-controller small-class,8
entity factory controller small-class,12
factory pure-controller degenerate small-class,3
boundary lazy-class degenerate,7
controller degenerate,4
entity,5
empty,1293
entity small-class,4
factory controller,1
controller,3
data-provider boundary small-class,11
controller data-class small-class,1
unclassified,32
controller small-class,11
entity boundary lazy-class degenerate,1
small-class,28
degenerate small-class,33
boundary lazy-class,1
commander data-class small-class,10
boundary small-class,4
entity commander boundary,42
entity boundary small-class,98
pure-controller degenerate small-class,76
entity boundary lazy-class,1
boundary degenerate small-class,90
commander,52
entity boundary,132
commander boundary data-class small-class,6
entity boundary degenerate,4
boundary data-class,1
commander small-class,101
entity boundary data-class,1
factory degenerate small-class,14
commander boundary small-class,120
commander boundary,83
data-provider boundary data-class,3
boundary data-class small-class,5
data-provider lazy-class degenerate,2
minimal-entity,2
entity data-provider boundary,4
pure-controller degenerate,15
data-provider boundary,4
entity minimal-entity boundary,2
boundary degenerate,40
commander lazy-class degenerate,2
data-provider small-class,3
data-class small-class,5
factory controller small-class,10
commander degenerate,1
data-provider boundary data-class small-class,6
data-provider data-class small-class,2
commander boundary lazy-class degenerate,1
entity factory controller,1
commander boundary lazy-class,1
factory small-class,1
boundary controller,1
factory controller degenerate,1
Total,2473
