Method Stereotype,Stereotype Count
get,1258
predicate,3088
property,2190
void-accessor,335
set,1172
command,4683
non-void-command,2462
collaborator,4199
controller,1108
wrapper,1542
constructor,860
copy-constructor,7
destructor,150
factory,3
incidental,1922
stateless,1499
empty,411
unclassified,65
Total,26954
