Unique Method Stereotype,Method Count
get property set collaborator,1
factory collaborator incidental,1
get non-void-command factory collaborator,3
get property set,1
get property,2
predicate set,6
property set,4
predicate set collaborator,2
collaborator incidental,89
get,422
get property non-void-command collaborator,9
get command collaborator,1
property non-void-command factory collaborator,96
property non-void-command,408
controller stateless,765
non-void-command factory collaborator,31
predicate controller,14
property non-void-command collaborator,1057
set collaborator,63
property controller,34
copy-constructor,55
incidental,131
controller,52
property wrapper,52
get non-void-command collaborator,265
empty,134
factory controller,6
factory collaborator stateless,57
predicate collaborator,1
factory wrapper stateless,9
property set collaborator,24
property collaborator,15
stateless,36
get set,247
predicate non-void-command collaborator,68
wrapper,26
void-accessor command collaborator,31
property non-void-command factory,3
collaborator stateless,121
constructor,491
set,56
property,20
command collaborator,1551
predicate,38
predicate non-void-command,144
property factory,14
unclassified,9
get property non-void-command factory collaborator,5
wrapper stateless,371
void-accessor command,15
factory controller stateless,34
get collaborator,332
get controller,3
get set collaborator,260
predicate wrapper,6
command,1219
property factory wrapper,17
property set factory collaborator,1
property factory collaborator,27
non-void-command collaborator,2
get non-void-command,194
factory wrapper,30
get property factory collaborator,1
property factory controller,5
get set factory collaborator,11
get wrapper,5
get property non-void-command,4
Total,9207
