Class Stereotype,Stereotype Count
entity,217
minimal-entity,8
data-provider,103
commander,669
boundary,928
factory,131
controller,73
pure-controller,213
large-class,0
lazy-class,13
degenerate,687
data-class,205
small-class,804
empty,413
unclassified,232
Total,4696
