Unique Method Stereotype,Method Count
predicate set,1
predicate collaborator,1
get non-void-command factory collaborator,2
get predicate non-void-command collaborator,1
get property non-void-command collaborator,5
controller,288
incidental,337
copy-constructor,89
property wrapper,358
get non-void-command collaborator,43
factory,2
empty,93
property factory collaborator,107
get set collaborator,13
get,855
collaborator incidental,193
command collaborator,1265
property,245
non-void-command factory collaborator,120
controller stateless,250
property controller,94
property non-void-command collaborator,452
command,742
property factory wrapper,69
constructor,2125
factory controller,60
get property controller,3
set,415
wrapper stateless,156
property non-void-command,774
property non-void-command factory collaborator,172
predicate,100
factory wrapper stateless,5
get predicate,1
predicate non-void-command,102
property factory,2
predicate non-void-command collaborator,56
wrapper,145
get set,27
get collaborator,466
get controller,4
factory controller stateless,110
void-accessor command,3
factory collaborator stateless,69
get property wrapper,6
get property non-void-command,32
get wrapper,1
property set collaborator,4
property collaborator,22
stateless,127
get predicate controller,2
predicate wrapper,36
get non-void-command,58
non-void-command collaborator,48
property factory controller,87
void-accessor controller,25
property non-void-command factory,70
collaborator stateless,191
set factory collaborator,3
get property,5
predicate controller,5
get property non-void-command factory,8
set collaborator,314
non-void-command,164
get property non-void-command factory collaborator,32
Total,11660
