Unique Method Stereotype,Method Count
collaborator,2
property non-void-command factory collaborator,1
get void-accessor command,1
get property set,1
collaborator incidental,216
get,413
get property non-void-command collaborator,6
set collaborator,1493
property controller,175
property non-void-command collaborator,200
incidental,696
controller,936
void-accessor command,148
property,133
command collaborator,443
get non-void-command collaborator,8
property wrapper,147
predicate non-void-command collaborator,201
wrapper,418
get predicate non-void-command,1
get set,73
destructor,28
get property wrapper,3
wrapper stateless,194
get property controller,12
constructor,817
predicate controller,194
predicate,140
property collaborator,51
property non-void-command,93
predicate set,36
empty,240
unclassified,21
property factory wrapper,1
command,937
set,1669
non-void-command factory collaborator,1
controller stateless,2516
get wrapper,21
get property,16
property set,25
get predicate,1
factory wrapper stateless,1
void-accessor,2
predicate collaborator,19
void-accessor command collaborator,333
copy-constructor,14
void-accessor collaborator,2
get predicate controller,3
predicate wrapper,43
get non-void-command,10
non-void-command collaborator,24
void-accessor controller,132
void-accessor set,24
void-accessor wrapper,26
predicate non-void-command,126
get property set collaborator,1
factory collaborator stateless,2
get predicate wrapper,1
property set collaborator,41
get set collaborator,39
get collaborator,321
get controller,38
get property collaborator,4
void-accessor set collaborator,30
get property non-void-command,4
predicate set collaborator,105
property factory collaborator,2
Total,14075
