Unique Class Stereotype,Class Count
degenerate small-class,1
entity factory controller small-class,2
factory pure-controller degenerate small-class,2
commander boundary,1
boundary degenerate,1
boundary degenerate small-class,2
pure-controller degenerate small-class,7
entity commander boundary,1
entity boundary small-class,13
small-class,10
data-provider lazy-class,4
unclassified,9
controller small-class,2
pure-controller degenerate,1
commander boundary small-class,9
boundary,9
degenerate,1
entity boundary,14
data-class small-class,1
controller degenerate,1
factory controller small-class,1
data-provider boundary small-class,5
empty,145
factory controller,1
commander,4
commander small-class,3
commander boundary data-class small-class,1
data-provider data-class small-class,1
data-provider,1
commander data-class small-class,1
Total,254
