Method Stereotype,Stereotype Count
get,97
predicate,223
property,1607
void-accessor,357
set,415
command,2386
non-void-command,1958
collaborator,3663
controller,858
wrapper,1029
constructor,1367
copy-constructor,47
destructor,0
factory,740
incidental,172
stateless,1565
empty,43
unclassified,1
Total,16528
