Class Name,Class Stereotype,Method Name,Method Stereotype
"AudioFlyoutHelper","commander boundary","ValidatePrimaryContentVisible","set",
"AudioFlyoutHelper","commander boundary","ValidateSecondaryContentVisible","set",
"AudioFlyoutHelper","commander boundary","OnShowVolumeControlInGSMTCFlyoutChanged","command",
"AudioFlyoutHelper","commander boundary","Client_DefaultDeviceChanged","command collaborator",
"AudioFlyoutHelper","commander boundary","UpdateDevice","command collaborator",
"AudioFlyoutHelper","commander boundary","AudioEndpointVolume_OnVolumeNotification","command collaborator",
"AudioFlyoutHelper","commander boundary","_SliderSetVolume","void-accessor command collaborator",
"AudioFlyoutHelper","commander boundary","UpdateVolume","command",
"AudioFlyoutHelper","commander boundary","UpdateVolumeGlyph","command",
"AudioFlyoutHelper","commander boundary","VolumeSlider_ValueChanged","command collaborator",
"AudioFlyoutHelper","commander boundary","VolumeButton_Click","set collaborator",
"AudioFlyoutHelper","commander boundary","VolumeSlider_PreviewMouseWheel","void-accessor set collaborator",
"AudioFlyoutHelper","commander boundary","SetupMediaSessionManagers","command collaborator",
"AudioFlyoutHelper","commander boundary","MediaSessionManager_MediaSessionsChanged","command collaborator",
"AudioFlyoutHelper","commander boundary","OnEnabled","command collaborator",
"AudioFlyoutHelper","commander boundary","OnDisabled","command collaborator",
"AudioFlyoutHelper","commander boundary","set","non-void-command",
"AudioFlyoutHelper","commander boundary","set","non-void-command",
"FlyoutAlignmentPicker","boundary lazy-class","FlyoutAlignmentPicker","constructor",
"FlyoutAlignmentPicker","boundary lazy-class","FlyoutAlignmentPicker_Loaded","collaborator incidental",
"FlyoutAlignmentPicker","boundary lazy-class","FlyoutAlignmentPicker_Unloaded","collaborator incidental",
"FlyoutAlignmentPicker","boundary lazy-class","Tg_Checked","set collaborator",
"FlyoutAlignmentPicker","boundary lazy-class","Tg_Unchecked","set collaborator",
"FlyoutAlignmentPicker","boundary lazy-class","Cmb_SelectionChanged","set collaborator",
"FlyoutAlignmentPicker","boundary lazy-class","UpdateControls","collaborator",
"FlyoutAlignmentPicker","boundary lazy-class","GetHorizontalAlignment","controller stateless",
"FlyoutAlignmentPicker","boundary lazy-class","GetVerticalAlignment","controller stateless",
"LockKeysModulePage","empty","LockKeysModulePage","constructor",
"FlyoutHandler","commander boundary","Initialize","command collaborator",
"FlyoutHandler","commander boundary","AirplaneModeWatcher_Changed","wrapper stateless",
"FlyoutHandler","commander boundary","Instance_DisplayUpdated","set collaborator",
"FlyoutHandler","commander boundary","set","wrapper",
"FlyoutHandler","commander boundary","set","non-void-command collaborator",
"FlyoutHandler","commander boundary","set","wrapper",
"FlyoutHandler","commander boundary","set","wrapper",
"BandWindow","entity commander boundary","BandWindow","constructor",
"BandWindow","entity commander boundary","BandWindow","constructor",
"BandWindow","entity commander boundary","BandWindow_SizeChanged","command collaborator",
"BandWindow","entity commander boundary","CreateWindow","command collaborator",
