Unique Class Stereotype,Class Count
data-provider degenerate,1
entity boundary data-class,1
entity minimal-entity data-provider boundary,1
commander boundary degenerate,2
data-provider boundary data-class small-class,6
commander lazy-class small-class,1
data-provider lazy-class degenerate,1
boundary data-class small-class,3
minimal-entity lazy-class,1
entity data-provider boundary,13
commander data-class,1
lazy-class degenerate,1
small-class,35
pure-controller degenerate,3
lazy-class,4
boundary lazy-class,2
degenerate small-class,29
boundary data-class,2
minimal-entity boundary,1
entity minimal-entity boundary,5
data-provider boundary lazy-class,2
data-provider small-class,21
commander data-class small-class,9
data-provider data-class,2
boundary small-class,99
data-provider boundary,54
commander boundary,20
boundary degenerate,12
controller,5
entity boundary degenerate,5
commander boundary data-class small-class,12
commander small-class,49
data-provider boundary small-class,62
pure-controller small-class,16
degenerate,24
boundary,121
controller small-class,29
unclassified,175
commander,22
empty,831
commander boundary lazy-class degenerate,5
boundary lazy-class small-class,1
data-provider data-class small-class,7
data-provider,26
commander boundary small-class,15
data-class small-class,4
entity boundary,70
lazy-class small-class,3
boundary degenerate small-class,240
entity boundary small-class,43
data-provider boundary degenerate,1
boundary lazy-class degenerate,1
controller degenerate,3
data-class,5
entity commander boundary,9
pure-controller degenerate small-class,50
data-provider boundary data-class,2
Total,2168
