Unique Class Stereotype,Class Count
data-provider data-class,1
boundary data-class small-class,1
factory pure-controller degenerate,1
data-provider boundary data-class,1
commander boundary large-class,1
data-provider lazy-class,1
entity factory controller small-class,1
boundary large-class,1
boundary lazy-class,7
factory degenerate,3
lazy-class small-class,4
entity factory controller,3
entity,3
entity boundary degenerate,11
commander boundary small-class,26
commander data-class small-class,4
boundary large-class degenerate,1
boundary small-class,8
factory degenerate small-class,2
large-class lazy-class degenerate,1
factory controller data-class small-class,2
controller small-class,13
unclassified,57
factory controller,27
empty,427
entity small-class,20
entity boundary lazy-class,1
controller lazy-class,2
boundary degenerate small-class,44
boundary,118
controller lazy-class degenerate,1
degenerate,48
pure-controller small-class,4
entity commander boundary,28
degenerate small-class,15
pure-controller,2
data-provider boundary small-class,4
controller,3
commander lazy-class degenerate,1
boundary degenerate,47
commander boundary,55
entity minimal-entity commander boundary,1
small-class,10
factory controller lazy-class degenerate,1
minimal-entity commander boundary,2
pure-controller degenerate small-class,16
entity boundary small-class,43
lazy-class degenerate,8
boundary lazy-class degenerate,9
controller degenerate,2
data-class small-class,3
factory controller small-class,6
commander degenerate,2
lazy-class,3
entity minimal-entity factory controller,1
data-provider small-class,1
data-provider boundary data-class small-class,21
boundary large-class lazy-class degenerate,3
data-provider boundary degenerate,1
data-provider,14
data-provider boundary,9
entity minimal-entity boundary,5
pure-controller degenerate,12
entity data-provider boundary,2
factory controller degenerate,4
boundary controller,1
commander boundary degenerate,4
commander small-class,10
boundary data-class,15
commander lazy-class,1
commander boundary lazy-class degenerate,3
commander boundary data-class small-class,4
entity boundary,82
commander,28
data-class,7
lazy-class data-class small-class,1
Total,1335
