Class Stereotype,Stereotype Count
entity,201
minimal-entity,9
data-provider,55
commander,170
boundary,559
factory,51
controller,67
pure-controller,35
large-class,7
lazy-class,47
degenerate,240
data-class,60
small-class,263
empty,427
unclassified,57
Total,2248
