Unique Method Stereotype,Method Count
get property,1
property factory,3
get set,1
get predicate set,1
get property set factory collaborator,1
factory stateless,2
factory wrapper,10
get predicate non-void-command collaborator,2
predicate set collaborator,10
get non-void-command factory collaborator,26
factory collaborator incidental,42
predicate set,2
property set,6
predicate controller,9
get wrapper,5
property factory collaborator,80
predicate,179
property non-void-command,78
property non-void-command factory collaborator,131
incidental,649
factory collaborator,3
controller,124
property wrapper,152
get non-void-command collaborator,18
non-void-command,221
set collaborator,822
property non-void-command collaborator,662
property controller,52
get property factory wrapper,2
collaborator incidental,517
get,303
get property non-void-command collaborator,19
factory wrapper stateless,68
void-accessor,2
predicate collaborator,32
property factory wrapper,22
command,894
non-void-command factory collaborator,178
controller stateless,455
get collaborator,532
wrapper stateless,877
constructor,1237
factory controller,46
get property controller,3
set,749
property,197
command collaborator,1328
property set collaborator,74
property collaborator,259
stateless,80
predicate non-void-command collaborator,133
wrapper,266
get non-void-command,3
non-void-command collaborator,364
predicate wrapper,60
get factory wrapper,1
empty,309
collaborator stateless,146
void-accessor command collaborator,132
copy-constructor,24
void-accessor collaborator,13
factory controller stateless,84
void-accessor command,13
factory collaborator stateless,177
void-accessor wrapper,17
predicate non-void-command,75
get property set collaborator,2
get property wrapper,8
get property non-void-command,1
get property collaborator,9
void-accessor set collaborator,25
get set collaborator,20
get property non-void-command factory collaborator,4
unclassified,15
get set factory collaborator,22
void-accessor controller,16
property factory controller,28
property set factory collaborator,21
destructor,5
set factory collaborator,58
collaborator,29
Total,13246
