Unique Method Stereotype,Method Count
predicate,3
property non-void-command factory,1
get set factory collaborator,4
predicate wrapper,3
get property set collaborator,2
predicate collaborator,4
factory wrapper stateless,4
get set collaborator,4
factory collaborator stateless,8
property factory controller,6
property factory wrapper,10
unclassified,3
get property non-void-command factory collaborator,1
property,30
predicate controller,2
non-void-command factory collaborator,13
get set,3
wrapper,92
get non-void-command,6
factory controller stateless,12
controller stateless,149
property non-void-command collaborator,263
set collaborator,22
property controller,23
set,158
command,484
factory controller,1
empty,22
wrapper stateless,249
command collaborator,471
property wrapper,72
get non-void-command collaborator,8
get collaborator,36
copy-constructor,4
controller,68
incidental,28
predicate non-void-command collaborator,16
predicate non-void-command,18
property factory,15
property factory collaborator,23
constructor,169
get property controller,1
property collaborator,4
property non-void-command,78
property non-void-command factory collaborator,24
property set collaborator,18
stateless,5
collaborator incidental,40
get,131
get property non-void-command collaborator,1
Total,2812
