Unique Class Stereotype,Class Count
data-provider boundary data-class small-class,1
controller small-class,1
commander boundary small-class,1
data-provider small-class,1
entity boundary degenerate,1
entity boundary small-class,2
degenerate small-class,2
commander,3
data-provider boundary small-class,40
boundary,30
pure-controller degenerate,1
boundary degenerate small-class,1
entity commander boundary,2
pure-controller degenerate small-class,1
empty,191
unclassified,18
commander boundary,3
degenerate,1
data-class small-class,1
entity boundary,3
factory pure-controller degenerate small-class,3
data-provider,3
Total,310
