Unique Method Stereotype,Method Count
get set collaborator,1
factory controller stateless,1
get property set collaborator,1
predicate controller,4
non-void-command factory collaborator,4
get property non-void-command,1
property factory collaborator,1
void-accessor controller,1
predicate non-void-command,8
property factory wrapper,1
property,2
factory wrapper,2
get collaborator,2
get set factory collaborator,2
get non-void-command factory collaborator,2
factory collaborator incidental,2
destructor,13
stateless,2
property set collaborator,9
get set,3
wrapper,52
get property wrapper,1
void-accessor set collaborator,4
predicate,4
predicate set collaborator,2
get non-void-command collaborator,1
property wrapper,24
wrapper stateless,87
command collaborator,108
command,46
factory controller,2
empty,2
constructor,149
set,39
non-void-command,27
predicate wrapper,8
non-void-command collaborator,22
get property non-void-command collaborator,1
get,11
collaborator incidental,20
controller stateless,28
property non-void-command collaborator,78
set collaborator,31
property controller,7
predicate set,5
property non-void-command factory collaborator,5
property non-void-command,11
property collaborator,6
void-accessor command collaborator,5
set factory collaborator,3
collaborator stateless,5
factory wrapper stateless,2
controller,3
predicate non-void-command collaborator,9
copy-constructor,5
incidental,56
Total,931
