Unique Method Stereotype,Method Count
unclassified,1
get non-void-command,1
get wrapper,1
void-accessor command collaborator,1
property factory collaborator,5
get set collaborator,1
property set collaborator,3
get non-void-command collaborator,2
property wrapper,181
collaborator stateless,33
get collaborator,85
wrapper stateless,97
get property collaborator,1
set,213
get property controller,2
constructor,316
wrapper,327
factory collaborator stateless,12
factory collaborator incidental,4
property controller,6
property non-void-command collaborator,24
set collaborator,86
command collaborator,167
factory controller,1
empty,42
command,207
predicate non-void-command,8
non-void-command factory collaborator,8
controller stateless,36
factory controller stateless,5
collaborator incidental,32
get,133
property,113
property non-void-command factory collaborator,10
property non-void-command,15
predicate set,2
property collaborator,61
predicate wrapper,7
non-void-command collaborator,15
predicate collaborator,4
factory wrapper stateless,6
non-void-command,6
predicate,73
collaborator,5
copy-constructor,1
incidental,55
controller,6
predicate non-void-command collaborator,10
Total,2430
